vector_count	dimension	vector_workload	filter_workload	selectivity	nlists	k	target_recall	method	runs	seeds	recall_min	recall_mean	recall_max	p50_min_ms	p50_median_ms	p50_max_ms	p95_min_ms	p95_median_ms	p95_max_ms	candidates_scored_mean	lists_probed_mean	oracle_wins	planner_regret_median	planner_regret_max	claim_passed	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier_median	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
10000	128	clustered	anticorrelated	0.001	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.004167	0.004167	0.004167	0.004958	0.004958	0.004958	10.0	0.0	0	2.2444545043005886	2.2444545043005886	true	8.0	16.0	4.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.001	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.001292	0.001292	0.001292	0.002209	0.002209	0.002209	10.0	0.0	1	2.2444545043005886	2.2444545043005886	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.001	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.008125	0.008125	0.008125	0.008875	0.008875	0.008875	10.0	64.0	0	2.2444545043005886	2.2444545043005886	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.001	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.004792	0.004792	0.004792	0.005375	0.005375	0.005375	10.0	2.0	0	2.2444545043005886	2.2444545043005886	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.001	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.832916	0.832916	0.832916	0.956375	0.956375	0.956375	10000.0	64.0	0	2.2444545043005886	2.2444545043005886	true	8.0	16.0	4.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.001	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.005708	0.005708	0.005708	0.006875	0.006875	0.006875	10.0	64.0	0	2.2444545043005886	2.2444545043005886	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.01	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.007208	0.007208	0.007208	0.007542	0.007542	0.007542	100.0	0.0	0	1.5084	1.5084	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.01	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.004208	0.004208	0.004208	0.005	0.005	0.005	100.0	0.0	1	1.5084	1.5084	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.01	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.013667	0.013667	0.013667	0.015583	0.015583	0.015583	100.0	64.0	0	1.5084	1.5084	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	anticorrelated	0.01	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.010417	0.010417	0.010417	0.011542	0.011542	0.011542	100.0	20.0	0	1.5084	1.5084	true	8.0	16.0	0.0	2.0	0.5	0.5	4
