experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
boundary-n10000-d128-clustered-random-s0_001-seed51	10000	128	clustered	random	0.001	51	exact	exact	0	true	1.0	0.000958	0.001167	1.0	0.001125	0.001292	10.0	10.0	0.0	0.361791833	0.489288330078125	0.0555645	7.6187591552734375	645.03125	exact	2.8057275541795668	true	204.80194594594596	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_001-seed51	10000	128	clustered	random	0.001	51	ivf_prefilter	ivf_prefilter	64	true	1.0	0.004916	0.0055	1.0	0.00525	0.00575	10.0	10.0	64.0	0.361791833	0.489288330078125	0.0555645	7.6187591552734375	645.03125	exact	2.8057275541795668	true	204.80194594594596	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_001-seed51	10000	128	clustered	random	0.001	51	ivf_postfilter	ivf_postfilter	64	true	1.0	0.728125	1.08675	1.0	0.821792	0.947209	10000.0	10000.0	64.0	0.361791833	0.489288330078125	0.0555645	7.6187591552734375	645.03125	exact	2.8057275541795668	true	204.80194594594596	8.0	16.0	4.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_001-seed51	10000	128	clustered	random	0.001	51	filter_aware	filter_aware	64	true	1.0	0.007084	0.0085	1.0	0.007416	0.00825	10.0	10.0	64.0	0.361791833	0.489288330078125	0.0555645	7.6187591552734375	645.03125	exact	2.8057275541795668	true	204.80194594594596	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_001-seed51	10000	128	clustered	random	0.001	51	filter_aware_bound	filter_aware_bound	64	true	1.0	0.00425	0.005084	1.0	0.004458	0.004625	10.0	10.0	10.0	0.361791833	0.489288330078125	0.0555645	7.6187591552734375	645.03125	exact	2.8057275541795668	true	204.80194594594596	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_001-seed51	10000	128	clustered	random	0.001	51	auto	exact	0	true	NaN	NaN	NaN	1.0	0.003375	0.003625	10.0	10.0	0.0	0.361791833	0.489288330078125	0.0555645	7.6187591552734375	645.03125	exact	2.8057275541795668	true	204.80194594594596	8.0	16.0	4.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_01-seed51	10000	128	clustered	random	0.01	51	exact	exact	0	true	1.0	0.004042	0.0045	1.0	0.004375	0.005209	100.0	100.0	0.0	0.361791833	0.49683380126953125	0.0555645	7.6187591552734375	668.71875	exact	1.6957189479746593	true	57.44013364243829	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_01-seed51	10000	128	clustered	random	0.01	51	ivf_prefilter	ivf_prefilter	64	true	1.0	0.010917	0.012625	1.0	0.011959	0.014042	100.0	100.0	64.0	0.361791833	0.49683380126953125	0.0555645	7.6187591552734375	668.71875	exact	1.6957189479746593	true	57.44013364243829	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_01-seed51	10000	128	clustered	random	0.01	51	ivf_postfilter	ivf_postfilter	64	true	1.0	0.749416	1.218666	1.0	0.732875	0.842417	10000.0	10000.0	64.0	0.361791833	0.49683380126953125	0.0555645	7.6187591552734375	668.71875	exact	1.6957189479746593	true	57.44013364243829	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-random-s0_01-seed51	10000	128	clustered	random	0.01	51	filter_aware	filter_aware	64	true	1.0	0.013833	0.016167	1.0	0.014875	0.016875	100.0	100.0	64.0	0.361791833	0.49683380126953125	0.0555645	7.6187591552734375	668.71875	exact	1.6957189479746593	true	57.44013364243829	8.0	16.0	0.0	2.0	0.5	0.5	4
