vector_count	dimension	vector_workload	filter_workload	selectivity	nlists	k	target_recall	method	runs	seeds	recall_min	recall_mean	recall_max	p50_min_ms	p50_median_ms	p50_max_ms	p95_min_ms	p95_median_ms	p95_max_ms	candidates_scored_mean	lists_probed_mean	oracle_wins	planner_regret_median	planner_regret_max	claim_passed	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier_median	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
100000	128	clustered	correlated	0.05	64	10	0.95	auto	1	53	1.0	1.0	1.0	0.189541	0.189541	0.189541	0.20775	0.20775	0.20775	5000.0	0.0	0	1.1717956817002457	1.1717956817002457	true	8.0	16.0	64.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	exact	1	53	1.0	1.0	1.0	0.170666	0.170666	0.170666	0.183458	0.183458	0.183458	5000.0	0.0	0	1.1717956817002457	1.1717956817002457	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	filter_aware	1	53	1.0	1.0	1.0	0.173958	0.173958	0.173958	0.195459	0.195459	0.195459	5000.0	64.0	0	1.1717956817002457	1.1717956817002457	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	filter_aware_bound	1	53	1.0	1.0	1.0	0.165334	0.165334	0.165334	0.181917	0.181917	0.181917	4999.16	53.96	0	1.1717956817002457	1.1717956817002457	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	ivf_postfilter	1	53	1.0	1.0	1.0	12.128375	12.128375	12.128375	15.357417	15.357417	15.357417	100000.0	64.0	0	1.1717956817002457	1.1717956817002457	true	8.0	16.0	64.0	2.0	0.5	0.5	4
100000	128	clustered	correlated	0.05	64	10	0.95	ivf_prefilter	1	53	1.0	1.0	1.0	0.164875	0.164875	0.164875	0.177292	0.177292	0.177292	5000.0	64.0	1	1.1717956817002457	1.1717956817002457	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	384	clustered	correlated	0.05	64	10	0.95	auto	1	53	1.0	1.0	1.0	0.519083	0.519083	0.519083	0.581042	0.581042	0.581042	5000.0	0.0	0	1.1742159997089932	1.1742159997089932	true	8.0	16.0	32.0	2.0	0.5	0.5	4
100000	384	clustered	correlated	0.05	64	10	0.95	exact	1	53	1.0	1.0	1.0	0.477416	0.477416	0.477416	0.494834	0.494834	0.494834	5000.0	0.0	1	1.1742159997089932	1.1742159997089932	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	384	clustered	correlated	0.05	64	10	0.95	filter_aware	1	53	1.0	1.0	1.0	0.48525	0.48525	0.48525	0.508	0.508	0.508	5000.0	64.0	0	1.1742159997089932	1.1742159997089932	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	384	clustered	correlated	0.05	64	10	0.95	filter_aware_bound	1	53	1.0	1.0	1.0	0.486041	0.486041	0.486041	0.562209	0.562209	0.562209	5000.0	61.0	0	1.1742159997089932	1.1742159997089932	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	384	clustered	correlated	0.05	64	10	0.95	ivf_postfilter	1	53	1.0	1.0	1.0	34.664084	34.664084	34.664084	38.416625	38.416625	38.416625	100000.0	64.0	0	1.1742159997089932	1.1742159997089932	true	8.0	16.0	32.0	2.0	0.5	0.5	4
100000	384	clustered	correlated	0.05	64	10	0.95	ivf_prefilter	1	53	1.0	1.0	1.0	0.488625	0.488625	0.488625	0.509709	0.509709	0.509709	5000.0	64.0	0	1.1742159997089932	1.1742159997089932	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	768	clustered	correlated	0.05	64	10	0.95	auto	1	53	0.9919999999999999	0.9919999999999999	0.9919999999999999	0.558833	0.558833	0.558833	0.788042	0.788042	0.788042	2481.7	32.0	0	1.3002212568245604	1.3002212568245604	true	8.0	16.0	16.0	2.0	0.5	0.5	4
100000	768	clustered	correlated	0.05	64	10	0.95	exact	1	53	1.0	1.0	1.0	1.267375	1.267375	1.267375	1.40475	1.40475	1.40475	5000.0	0.0	0	1.3002212568245604	1.3002212568245604	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	768	clustered	correlated	0.05	64	10	0.95	filter_aware	1	53	0.9940000000000001	0.9940000000000001	0.9940000000000001	0.805875	0.805875	0.805875	0.887542	0.887542	0.887542	3727.08	32.0	0	1.3002212568245604	1.3002212568245604	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	768	clustered	correlated	0.05	64	10	0.95	filter_aware_bound	1	53	0.992	0.992	0.992	0.525958	0.525958	0.525958	0.606083	0.606083	0.606083	2624.04	32.0	1	1.3002212568245604	1.3002212568245604	true	8.0	16.0	0.0	2.0	0.5	0.5	4
100000	768	clustered	correlated	0.05	64	10	0.95	ivf_postfilter	1	53	0.9919999999999999	0.9919999999999999	0.9919999999999999	25.655042	25.655042	25.655042	30.07675	30.07675	30.07675	49665.64	32.0	0	1.3002212568245604	1.3002212568245604	true	8.0	16.0	16.0	2.0	0.5	0.5	4
100000	768	clustered	correlated	0.05	64	10	0.95	ivf_prefilter	1	53	0.9919999999999999	0.9919999999999999	0.9919999999999999	0.500417	0.500417	0.500417	0.608417	0.608417	0.608417	2481.7	32.0	0	1.3002212568245604	1.3002212568245604	true	8.0	16.0	0.0	2.0	0.5	0.5	4
