experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
final100k-n100000-d128-clustered-correlated-s0_01-seed48	100000	128	clustered	correlated	0.01	48	exact	exact	0	true	1.0	0.090708	0.109542	1.0	0.094041	0.119916	1000.0	1000.0	0.0	2.373865792	2.8778762817382812	5.077531083	153.84363555908203	929.375	ivf_prefilter	1.1778180220726011	true	269.0079703474006	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed48	100000	128	clustered	correlated	0.01	48	ivf_prefilter	ivf_prefilter	64	true	1.0	0.099625	0.138541	1.0	0.095208	0.111541	1000.0	1000.0	64.0	2.373865792	2.8778762817382812	5.077531083	153.84363555908203	929.375	ivf_prefilter	1.1778180220726011	true	269.0079703474006	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed48	100000	128	clustered	correlated	0.01	48	ivf_postfilter	ivf_postfilter	64	true	1.0	24.750375	34.492542	1.0	27.019416	33.312333	100000.0	100000.0	64.0	2.373865792	2.8778762817382812	5.077531083	153.84363555908203	929.375	ivf_prefilter	1.1778180220726011	true	269.0079703474006	8.0	16.0	32.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed48	100000	128	clustered	correlated	0.01	48	filter_aware	filter_aware	64	true	1.0	0.115667	0.225708	1.0	0.111833	0.132209	1000.0	1000.0	64.0	2.373865792	2.8778762817382812	5.077531083	153.84363555908203	929.375	ivf_prefilter	1.1778180220726011	true	269.0079703474006	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed48	100000	128	clustered	correlated	0.01	48	filter_aware_bound	filter_aware_bound	64	true	1.0	0.107542	0.173791	1.0	0.10975	0.123834	999.985	999.985	21.985	2.373865792	2.8778762817382812	5.077531083	153.84363555908203	929.375	ivf_prefilter	1.1778180220726011	true	269.0079703474006	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_01-seed48	100000	128	clustered	correlated	0.01	48	auto	exact	0	true	NaN	NaN	NaN	1.0	0.11925	0.131375	1000.0	1000.0	0.0	2.373865792	2.8778762817382812	5.077531083	153.84363555908203	929.375	ivf_prefilter	1.1778180220726011	true	269.0079703474006	8.0	16.0	32.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed48	100000	128	clustered	correlated	0.05	48	exact	exact	0	true	1.0	0.510875	2.43125	1.0	0.428833	0.847416	5000.0	5000.0	0.0	2.373865792	2.8931655883789062	5.077531083	153.84363555908203	978.40625	filter_aware_bound	1.3789747971555881	true	79.07754341117568	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed48	100000	128	clustered	correlated	0.05	48	ivf_prefilter	ivf_prefilter	64	true	1.0	0.418417	0.496125	1.0	0.399958	0.61175	5000.0	5000.0	64.0	2.373865792	2.8931655883789062	5.077531083	153.84363555908203	978.40625	filter_aware_bound	1.3789747971555881	true	79.07754341117568	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed48	100000	128	clustered	correlated	0.05	48	ivf_postfilter	ivf_postfilter	64	true	1.0	27.614334	100.35	1.0	27.201125	33.59475	100000.0	100000.0	64.0	2.373865792	2.8931655883789062	5.077531083	153.84363555908203	978.40625	filter_aware_bound	1.3789747971555881	true	79.07754341117568	8.0	16.0	128.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed48	100000	128	clustered	correlated	0.05	48	filter_aware	filter_aware	64	true	1.0	0.474833	0.633625	1.0	0.394042	0.427334	5000.0	5000.0	64.0	2.373865792	2.8931655883789062	5.077531083	153.84363555908203	978.40625	filter_aware_bound	1.3789747971555881	true	79.07754341117568	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed48	100000	128	clustered	correlated	0.05	48	filter_aware_bound	filter_aware_bound	64	true	1.0	0.438208	0.521709	1.0	0.3985	0.424833	4995.905	4995.905	42.905	2.373865792	2.8931655883789062	5.077531083	153.84363555908203	978.40625	filter_aware_bound	1.3789747971555881	true	79.07754341117568	8.0	16.0	0.0	2.0	0.5	0.5	4
