experiment	split	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	selected_method	query_index	repetition	nprobe	recall	latency_ms	candidates_visited	candidates_scored	lists_probed	result_count	postfilter_candidate_multiplier	bucket
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	1	1	192	1.0	14.6965	9224	9224	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	1	2	192	1.0	14.379292	9224	9224	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	1	3	192	1.0	13.784042	9224	9224	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	1	4	192	1.0	15.165958	9224	9224	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	1	5	192	1.0	15.334917	9224	9224	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	2	1	0	1.0	1.957292	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	2	2	0	1.0	1.91625	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	2	3	0	1.0	1.87725	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	2	4	0	1.0	1.866375	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	2	5	0	1.0	1.856625	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	3	1	192	1.0	16.999916	11970	11970	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	3	2	192	1.0	17.259458	11970	11970	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	3	3	192	1.0	18.223917	11970	11970	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	3	4	192	1.0	19.318708	11970	11970	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	3	5	192	1.0	19.518625	11970	11970	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	4	1	192	1.0	22.663417	14090	14090	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	4	2	192	1.0	22.536875	14090	14090	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	4	3	192	1.0	22.605625	14090	14090	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	4	4	192	1.0	23.027083	14090	14090	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	4	5	192	1.0	22.646541	14090	14090	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	5	1	0	1.0	1.908125	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	5	2	0	1.0	1.858833	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	5	3	0	1.0	1.811458	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	5	4	0	1.0	1.819333	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	5	5	0	1.0	1.8085	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0015	42	hybrid	exact	6	1	0	1.0	0.435125	450	450	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0015	42	hybrid	exact	6	2	0	1.0	0.356292	450	450	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0015	42	hybrid	exact	6	3	0	1.0	0.338084	450	450	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0015	42	hybrid	exact	6	4	0	1.0	0.3215	450	450	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0015	42	hybrid	exact	6	5	0	1.0	0.293333	450	450	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0918	42	hybrid	ivf_prefilter	7	1	192	1.0	5.167	2705	2705	192	10	0.0	medium
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0918	42	hybrid	ivf_prefilter	7	2	192	1.0	5.218833	2705	2705	192	10	0.0	medium
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0918	42	hybrid	ivf_prefilter	7	3	192	1.0	5.197459	2705	2705	192	10	0.0	medium
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0918	42	hybrid	ivf_prefilter	7	4	192	1.0	5.2945	2705	2705	192	10	0.0	medium
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0918	42	hybrid	ivf_prefilter	7	5	192	1.0	5.100667	2705	2705	192	10	0.0	medium
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	8	1	192	1.0	21.515917	12988	12988	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	8	2	192	1.0	20.710708	12988	12988	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	8	3	192	1.0	22.082958	12988	12988	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	8	4	192	1.0	22.336125	12988	12988	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	8	5	192	1.0	17.118833	12988	12988	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	9	1	192	1.0	17.108958	12558	12558	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	9	2	192	1.0	15.934084	12558	12558	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	9	3	192	1.0	15.757083	12558	12558	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	9	4	192	1.0	16.024167	12558	12558	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.5782933333333333	42	hybrid	ivf_prefilter	9	5	192	1.0	15.794542	12558	12558	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	10	1	0	1.0	2.040459	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	10	2	0	1.0	1.907083	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	10	3	0	1.0	1.917166	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	10	4	0	1.0	2.040208	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.006713333333333333	42	hybrid	exact	10	5	0	1.0	1.860583	2014	2014	0	10	0.0	rare
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	11	1	192	1.0	11.783583	8576	8576	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	11	2	192	1.0	11.571542	8576	8576	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	11	3	192	1.0	11.768167	8576	8576	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	11	4	192	1.0	12.91125	8576	8576	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.2908733333333333	42	hybrid	ivf_prefilter	11	5	192	1.0	13.008666	8576	8576	192	10	0.0	broad
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0918	42	hybrid	ivf_prefilter	12	1	192	0.9	5.604916	3329	3329	192	10	0.0	medium
ivf-hybrid-validation	confirmation	300000	4096	real	natural	0.0918	42	hybrid	ivf_prefilter	12	2	192	0.9	5.904875	3329	3329	192	10	0.0	medium
