nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	256	0.2796875	0.0	192.0	313.5	197.6484375	43.98828125	0.0006588281249999999
1	broad	111	0.3837837837837838	0.0	192.0	305.0	196.45945945945945	88.43243243243244	0.0006548648648648651
1	medium	89	0.27865168539325846	0.0	192.0	408.0	199.02247191011236	15.584269662921349	0.0006634082397003744
1	rare	56	0.075	0.0	192.0	356.25	197.82142857142858	1.0357142857142858	0.000659404761904762
2	all	256	0.3824218749999999	0.0	372.0	535.5	380.4140625	84.484375	0.0012680468749999999
2	broad	111	0.5135135135135135	0.0	367.0	487.0	372.1981981981982	170.13513513513513	0.001240660660660661
2	medium	89	0.37640449438202245	0.0	402.0	536.9999999999999	392.2022471910112	29.60674157303371	0.0013073408239700378
2	rare	56	0.13214285714285715	0.0	365.0	549.0	377.9642857142857	1.9285714285714286	0.0012598809523809526
4	all	256	0.534375	0.0	731.0	1179.0	753.4921875	168.2421875	0.002511640624999999
4	broad	111	0.672072072072072	0.2	716.0	1077.0	745.2252252252252	339.02702702702703	0.0024840840840840844
4	medium	89	0.5415730337078651	0.0	775.0	1210.7999999999997	771.4943820224719	58.31460674157304	0.0025716479400749066
4	rare	56	0.24999999999999997	0.0	719.5	1179.0	741.2678571428571	4.428571428571429	0.0024708928571428564
8	all	256	0.6644531249999999	0.0	1452.0	2116.5	1490.66015625	334.140625	0.0049688671875
8	broad	111	0.8099099099099099	0.2	1420.0	1997.0	1450.5675675675675	674.7927927927927	0.004835225225225225
8	medium	89	0.6719101123595506	0.0	1487.0	2182.999999999999	1520.8314606741574	113.64044943820225	0.00506943820224719
8	rare	56	0.3642857142857143	0.0	1444.0	2292.5	1522.1785714285713	9.357142857142858	0.00507392857142857
16	all	256	0.7640625	0.0	2874.0	4652.25	3002.62890625	666.6484375	0.010008763020833334
16	broad	111	0.890990990990991	0.4	2807.0	4116.0	2922.072072072072	1344.6126126126126	0.00974024024024024
16	medium	89	0.7853932584269664	0.2	2949.0	4936.2	3071.820224719101	229.58426966292134	0.01023940074906367
16	rare	56	0.4785714285714286	0.0	2887.5	4975.5	3052.339285714286	17.446428571428573	0.010174464285714283
32	all	256	0.8546874999999999	0.1	5702.5	9821.75	6004.09375	1319.09375	0.020013645833333333
32	broad	111	0.9486486486486488	0.6	5614.0	6920.0	5785.351351351352	2635.5855855855857	0.019284504504504505
32	medium	89	0.8820224719101125	0.5	5846.0	10547.8	6252.29213483146	486.23595505617976	0.020840973782771537
32	rare	56	0.625	0.1	5647.0	10687.25	6043.214285714285	33.267857142857146	0.020144047619047617
64	all	256	0.9312499999999999	0.3	11592.5	17809.75	12010.84765625	2643.046875	0.04003615885416667
64	broad	111	0.9765765765765766	0.8	11435.0	13622.0	11683.315315315316	5211.171171171171	0.03894438438438439
64	medium	89	0.9483146067415734	0.6	12166.0	18200.799999999996	12409.314606741573	1053.629213483146	0.04136438202247192
64	rare	56	0.8142857142857142	0.3	11425.0	18355.75	12026.785714285714	78.69642857142857	0.040089285714285716
128	all	256	0.9777343749999998	0.5	24533.5	33096.5	25160.5625	5553.5546875	0.08386854166666664
128	broad	111	0.9945945945945946	0.9	24535.0	27658.5	24878.72072072072	10836.675675675675	0.08292906906906909
128	medium	89	0.9853932584269665	0.7	24668.0	33844.399999999994	25508.20224719101	2328.5393258426966	0.08502734082397002
128	rare	56	0.932142857142857	0.5	24389.0	34006.75	25166.714285714286	207.125	0.08388904761904761
256	all	256	0.99609375	0.8	53737.0	66309.5	54807.80078125	12161.41796875	0.1826926692708333
256	broad	111	1.0	1.0	53948.0	61713.0	54558.7027027027	23671.054054054053	0.18186234234234236
256	medium	89	0.995505617977528	0.8	53962.0	67337.59999999999	55460.79775280899	5172.606741573034	0.18486932584269664
256	rare	56	0.9892857142857144	0.8	53324.0	67000.75	54263.75	454.89285714285717	0.18087916666666667
384	all	256	0.9984375	0.9	88906.5	102797.5	89499.0	19951.3828125	0.29833
384	broad	111	1.0	1.0	88633.0	97616.0	89284.5945945946	39008.38738738739	0.2976153153153153
384	medium	89	0.9977528089887641	0.9	89588.0	104086.4	90353.67415730337	8280.865168539325	0.3011789138576779
384	rare	56	0.9964285714285713	0.9	88317.5	102096.75	88565.66071428571	725.4642857142857	0.29521886904761907
512	all	256	0.999609375	0.9	128472.5	137986.5	128349.15625	28769.3828125	0.4278305208333333
512	broad	111	1.0	1.0	128529.0	135543.5	128119.13513513513	56452.6036036036	0.4270637837837838
512	medium	89	1.0	1.0	128555.0	139084.0	129228.83146067416	11699.921348314607	0.43076277153558057
512	rare	56	0.9982142857142857	0.9	126408.0	135912.0	127407.03571428571	1025.5357142857142	0.42469011904761916
768	all	256	1.0	1.0	212314.5	218364.5	212475.515625	48015.85546875	0.7082517187500001
768	broad	111	1.0	1.0	211990.0	217575.5	212248.33333333334	95260.53153153154	0.7074944444444445
768	medium	89	1.0	1.0	213366.0	219138.8	212954.85393258426	18355.696629213482	0.7098495131086143
768	rare	56	1.0	1.0	211909.0	217705.75	212164.01785714287	1508.625	0.7072133928571428
1024	all	256	1.0	1.0	300000.0	300000.0	300000.0	68104.90625	1.0
1024	broad	111	1.0	1.0	300000.0	300000.0	300000.0	137754.7027027027	1.0
1024	medium	89	1.0	1.0	300000.0	300000.0	300000.0	22990.20224719101	1.0
1024	rare	56	1.0	1.0	300000.0	300000.0	300000.0	1749.2142857142858	1.0
