query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.006713333333333333	rare	0.02574122	7	4	36	75	75	75
2	0.006713333333333333	rare	0.02997446	9	12	64	89	89	89
3	0.006713333333333333	rare	0.008379042	9	8	50	53	53	53
4	0.0918	medium	0.018653214	5	3	27	70	70	70
5	0.2908733333333333	broad	0.011993885	6	2	17	27	27	27
6	0.5782933333333333	broad	0.041829348	6	1	5	8	8	8
7	0.006713333333333333	rare	0.015420318	8	15	54	66	66	66
8	0.2908733333333333	broad	0.03340435	6	2	12	54	54	54
9	0.006713333333333333	rare	0.0012277365	7	5	28	39	39	39
10	0.5782933333333333	broad	0.013802409	2	1	42	42	42	42
11	0.2908733333333333	broad	0.027436376	6	3	13	13	13	13
12	0.0918	medium	0.00050508976	6	13	30	39	39	39
13	0.030446666666666667	medium	0.045431197	5	3	8	8	8	8
14	0.0918	medium	0.021990895	6	11	18	35	35	35
15	0.006713333333333333	rare	0.021112084	6	8	52	222	222	222
16	0.5782933333333333	broad	0.035487473	6	4	6	68	68	68
17	0.2908733333333333	broad	0.024716616	3	1	3	7	7	7
18	0.5782933333333333	broad	0.0013970733	9	5	17	28	28	28
19	0.0918	medium	0.02490139	6	3	10	13	13	13
20	0.0918	medium	0.05640185	5	1	10	43	43	43
21	0.2908733333333333	broad	0.021020591	9	8	68	97	97	97
22	0.006713333333333333	rare	0.022580385	7	13	63	70	70	70
23	0.2908733333333333	broad	0.02357167	6	3	7	8	8	8
24	0.0918	medium	0.006736219	6	18	60	144	144	144
25	0.006713333333333333	rare	0.0029780865	7	10	102	144	144	144
26	0.5782933333333333	broad	0.041971803	7	5	17	46	46	46
27	0.0918	medium	0.03375739	7	7	101	129	129	129
28	0.2908733333333333	broad	0.023917675	10	7	70	129	129	129
29	0.2908733333333333	broad	0.013215661	7	4	12	17	17	17
30	0.006713333333333333	rare	0.043427348	6	6	10	29	29	29
31	0.006713333333333333	rare	0.018628716	6	4	23	38	38	38
32	0.030446666666666667	medium	0.0061451197	6	7	51	59	59	59
33	0.0918	medium	0.0159868	4	1	3	20	20	20
34	0.5782933333333333	broad	0.03697598	5	1	5	88	88	88
35	0.030446666666666667	medium	0.011518359	9	21	52	88	88	88
36	0.2908733333333333	broad	0.014599979	9	5	12	34	34	34
37	0.2908733333333333	broad	0.082319975	3	1	2	6	6	6
38	0.2908733333333333	broad	0.055773735	5	1	6	15	15	15
39	0.006713333333333333	rare	0.046648502	9	35	146	277	277	277
40	0.006713333333333333	rare	0.036868334	9	23	107	221	221	221
41	0.0918	medium	0.0014309883	6	2	14	20	20	20
42	0.5782933333333333	broad	0.008167088	7	3	10	20	20	20
43	0.2908733333333333	broad	0.014569819	5	2	20	28	28	28
44	0.006713333333333333	rare	0.03128332	9	25	64	73	73	73
45	0.0918	medium	0.020854115	5	2	5	6	6	6
46	0.0015	rare	0.00661844	10	31	271	683	683	683
47	0.006713333333333333	rare	0.001954019	6	20	106	176	176	176
48	0.006713333333333333	rare	0.0077385902	6	4	45	226	226	226
49	0.2908733333333333	broad	0.022859573	6	2	26	29	29	29
50	0.5782933333333333	broad	0.013851285	4	2	7	9	9	9
51	0.030446666666666667	medium	0.008107781	5	3	17	22	22	22
52	0.0918	medium	0.0077147484	6	4	42	48	48	48
53	0.006713333333333333	rare	0.0047638416	9	7	63	85	85	85
54	0.0918	medium	0.019686222	7	9	78	78	78	78
55	0.030446666666666667	medium	0.005882621	7	5	29	50	50	50
56	0.2908733333333333	broad	0.0273332	8	23	56	137	137	137
57	0.2908733333333333	broad	0.0038954616	5	2	6	10	10	10
58	0.2908733333333333	broad	0.024855375	4	2	3	10	10	10
59	0.5782933333333333	broad	0.024514377	2	1	4	4	4	4
60	0.5782933333333333	broad	0.027645946	4	1	5	17	17	17
61	0.5782933333333333	broad	0.029233813	1	1	1	1	1	1
