nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	256	0.33671875	0.0	224.5	570.0	278.90234375	62.41796875	0.0009296744791666668
1	broad	111	0.4621621621621622	0.0	222.0	468.0	272.9009009009009	123.74774774774775	0.0009096696696696696
1	medium	89	0.3258426966292135	0.0	256.0	658.1999999999997	293.92134831460675	24.168539325842698	0.000979737827715356
1	rare	56	0.10535714285714284	0.0	221.0	681.0	266.92857142857144	1.6428571428571428	0.0008897619047619048
2	all	256	0.45546875000000003	0.0	470.0	888.0	512.76171875	111.83984375	0.0017092057291666666
2	broad	111	0.5837837837837839	0.0	457.0	821.5	487.6666666666667	221.0	0.0016255555555555552
2	medium	89	0.46741573033707856	0.0	531.0	942.5999999999997	542.438202247191	44.06741573033708	0.0018081273408239698
2	rare	56	0.18214285714285713	0.0	450.5	897.5	515.3392857142857	3.1785714285714284	0.001717797619047619
4	all	256	0.575390625	0.0	894.0	1578.0	953.76171875	208.90625	0.003179205729166667
4	broad	111	0.709009009009009	0.1	877.0	1494.5	906.7477477477478	415.22522522522524	0.0030224924924924924
4	medium	89	0.5887640449438203	0.1	917.0	1594.7999999999997	1012.8202247191011	79.30337078651685	0.0033760674157303373
4	rare	56	0.2892857142857142	0.0	924.0	1556.0	953.0892857142857	5.928571428571429	0.003176964285714287
8	all	256	0.687109375	0.0	1693.5	2867.75	1795.75390625	403.828125	0.005985846354166666
8	broad	111	0.8234234234234235	0.3	1634.0	2872.5	1736.990990990991	808.4684684684685	0.00578996996996997
8	medium	89	0.6898876404494384	0.2	1730.0	2833.8	1873.8202247191011	146.41573033707866	0.006246067415730337
8	rare	56	0.4125	0.0	1684.0	2838.5	1788.1607142857142	10.875	0.005960535714285715
16	all	256	0.7874999999999999	0.1	3373.5	5524.5	3521.390625	780.55078125	0.011737968749999998
16	broad	111	0.9045045045045046	0.4	3284.0	5115.0	3394.4054054054054	1554.2522522522522	0.011314684684684682
16	medium	89	0.804494382022472	0.4	3478.0	5525.2	3705.179775280899	294.3820224719101	0.012350599250936328
16	rare	56	0.5285714285714286	0.1	3423.5	5604.75	3481.0	19.625	0.011603333333333337
32	all	256	0.8648437499999999	0.2	6471.0	10993.75	6829.546875	1498.1796875	0.022765156249999998
32	broad	111	0.9486486486486487	0.6	6387.0	8928.5	6596.936936936937	2971.4504504504503	0.021989789789789792
32	medium	89	0.8876404494382022	0.5	6624.0	11151.400000000001	7142.516853932584	578.6404494382023	0.023808389513108617
32	rare	56	0.6624999999999999	0.2	6502.5	10933.0	6793.214285714285	39.357142857142854	0.02264404761904762
64	all	256	0.9312500000000001	0.3	13036.0	18872.25	13462.828125	2976.51171875	0.044876093750000005
64	broad	111	0.9747747747747749	0.8	12901.0	16336.5	13222.054054054053	5849.756756756757	0.04407351351351351
64	medium	89	0.9460674157303375	0.6	13115.0	18962.199999999997	13775.561797752809	1208.8426966292134	0.0459185393258427
64	rare	56	0.8214285714285713	0.3	13066.5	19693.5	13443.05357142857	90.66071428571429	0.04481017857142857
128	all	256	0.980859375	0.5	27098.5	34716.0	27610.06640625	6104.21875	0.0920335546875
128	broad	111	0.9927927927927926	0.9	26886.0	31630.5	27329.07207207207	11885.441441441442	0.09109690690690689
128	medium	89	0.9842696629213484	0.9	27130.0	34752.0	27945.91011235955	2594.483146067416	0.09315303370786515
128	rare	56	0.9517857142857142	0.5	27391.5	34931.25	27633.285714285714	222.98214285714286	0.09211095238095238
256	all	256	0.9957031249999999	0.8	57521.5	67402.75	58072.78515625	12858.4140625	0.19357595052083335
256	broad	111	0.9990990990990991	0.9	57333.0	66348.5	57721.0	25022.243243243243	0.19240333333333334
256	medium	89	0.9966292134831459	0.9	57769.0	68078.6	58710.15730337079	5476.741573033708	0.19570052434456933
256	rare	56	0.9875	0.8	57202.5	65965.25	57757.107142857145	479.55357142857144	0.19252369047619045
384	all	256	0.998046875	0.8	90454.5	102087.25	91880.4765625	20464.29296875	0.3062682552083334
384	broad	111	1.0	1.0	90430.0	102029.0	91525.48648648648	39999.37837837838	0.30508495495495497
384	medium	89	1.0	1.0	90228.0	104542.79999999999	92551.15730337078	8509.91011235955	0.3085038576779026
384	rare	56	0.9910714285714286	0.8	91275.0	100262.75	91518.21428571429	741.8928571428571	0.3050607142857143
512	all	256	0.99921875	0.9	127814.0	139995.5	128877.359375	28845.13671875	0.42959119791666667
512	broad	111	1.0	1.0	127200.0	139009.0	128390.93693693694	56574.78378378379	0.4279697897897898
512	medium	89	1.0	1.0	128290.0	141444.8	129429.48314606742	11773.955056179775	0.43143161048689144
512	rare	56	0.9964285714285713	0.9	128292.0	138987.75	128964.03571428571	1012.0	0.4298801190476191
768	all	256	1.0	1.0	211023.5	217801.5	211198.6796875	47727.46484375	0.7039955989583332
768	broad	111	1.0	1.0	210692.0	217811.5	210904.9189189189	94619.87387387388	0.7030163963963965
768	medium	89	1.0	1.0	211745.0	218276.59999999998	211677.06741573033	18337.842696629214	0.705590224719101
768	rare	56	1.0	1.0	211369.5	216627.0	211020.6607142857	1488.517857142857	0.7034022023809525
1024	all	256	1.0	1.0	300000.0	300000.0	300000.0	68104.90625	1.0
1024	broad	111	1.0	1.0	300000.0	300000.0	300000.0	137754.7027027027	1.0
1024	medium	89	1.0	1.0	300000.0	300000.0	300000.0	22990.20224719101	1.0
1024	rare	56	1.0	1.0	300000.0	300000.0	300000.0	1749.2142857142858	1.0
