query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank	nprobe	truth_list_recall	candidates_visited	matching_candidates	database_fraction
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	1	0.2	681	2	0.00227
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	2	0.5	800	6	0.0026666666666666666
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	4	0.7	1430	12	0.0047666666666666664
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	8	0.8	2662	23	0.008873333333333334
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	16	0.8	5057	51	0.016856666666666666
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	32	0.8	9267	67	0.03089
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	64	0.8	18009	149	0.06003
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	128	1.0	31748	363	0.10582666666666667
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	256	1.0	62282	642	0.20760666666666666
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	384	1.0	96085	973	0.3202833333333333
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	512	1.0	131536	1271	0.4384533333333333
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	768	1.0	210521	1821	0.7017366666666667
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68	1024	1.0	300000	2014	1.0
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	1	0.4	341	10	0.0011366666666666667
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	2	0.4	416	12	0.0013866666666666667
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	4	0.5	953	18	0.0031766666666666666
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	8	0.7	1668	23	0.00556
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	16	0.9	3497	41	0.011656666666666666
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	32	0.9	7499	73	0.024996666666666667
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	64	0.9	14870	153	0.04956666666666667
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	128	1.0	28539	315	0.09513
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	256	1.0	58226	575	0.19408666666666666
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	384	1.0	92849	847	0.30949666666666664
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	512	1.0	126670	1098	0.42223333333333335
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	768	1.0	211498	1689	0.7049933333333334
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66	1024	1.0	300000	2014	1.0
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	1	0.0	222	0	0.00074
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	2	0.3	690	3	0.0023
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	4	0.3	1013	3	0.0033766666666666667
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	8	0.5	1656	7	0.00552
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	16	0.7	3621	17	0.01207
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	32	0.7	6636	40	0.02212
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	64	0.9	12827	66	0.042756666666666665
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	128	1.0	27726	246	0.09242
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	256	1.0	56412	556	0.18804
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79	384	1.0	91661	872	0.3055366666666667
