query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.006713333333333333	rare	0.009158552	6	2	67	68	68	68
2	0.006713333333333333	rare	0.024114251	7	3	12	66	66	66
3	0.006713333333333333	rare	0.011893511	8	8	55	79	79	79
4	0.0918	medium	0.024386704	4	2	13	126	126	126
5	0.2908733333333333	broad	0.021674037	4	1	18	167	167	167
6	0.5782933333333333	broad	0.023277342	3	1	2	6	6	6
7	0.006713333333333333	rare	0.026357472	9	25	38	51	51	51
8	0.2908733333333333	broad	0.0018050075	5	3	7	26	26	26
9	0.006713333333333333	rare	0.018332362	7	4	21	27	27	27
10	0.5782933333333333	broad	0.064013064	3	1	57	155	155	155
11	0.2908733333333333	broad	0.08185434	5	1	15	34	34	34
12	0.0918	medium	0.005080402	6	5	19	21	21	21
13	0.030446666666666667	medium	0.012132168	4	2	9	9	9	9
14	0.0918	medium	0.009218454	7	4	22	44	44	44
15	0.006713333333333333	rare	0.065811574	7	2	70	226	226	226
16	0.5782933333333333	broad	0.01198107	3	1	4	18	18	18
17	0.2908733333333333	broad	0.055446863	2	1	1	5	5	5
18	0.5782933333333333	broad	0.045976818	6	2	11	77	77	77
19	0.0918	medium	0.0026913881	5	2	5	20	20	20
20	0.0918	medium	0.01519984	3	1	3	8	8	8
21	0.2908733333333333	broad	0.024619162	6	2	68	90	90	90
22	0.006713333333333333	rare	0.01026386	8	7	77	86	86	86
23	0.2908733333333333	broad	0.044542074	4	2	3	7	7	7
24	0.0918	medium	0.04755342	6	16	62	62	62	62
25	0.006713333333333333	rare	0.07493305	7	3	70	77	77	77
26	0.5782933333333333	broad	0.032240927	6	5	10	16	16	16
27	0.0918	medium	0.02282226	7	10	85	148	148	148
28	0.2908733333333333	broad	0.021005869	8	4	56	106	106	106
29	0.2908733333333333	broad	0.028650343	7	2	21	23	23	23
30	0.006713333333333333	rare	0.056871593	6	5	8	8	8	8
31	0.006713333333333333	rare	0.006903708	6	2	10	19	19	19
32	0.030446666666666667	medium	0.033691645	5	4	19	50	50	50
33	0.0918	medium	0.05261749	3	1	2	283	283	283
34	0.5782933333333333	broad	0.022275984	6	1	25	146	146	146
35	0.030446666666666667	medium	0.0138968825	10	19	67	102	102	102
36	0.2908733333333333	broad	0.029672027	5	2	9	37	37	37
37	0.2908733333333333	broad	0.12161541	3	1	2	35	35	35
38	0.2908733333333333	broad	0.07156551	6	2	16	18	18	18
39	0.006713333333333333	rare	0.008153379	9	26	111	294	294	294
40	0.006713333333333333	rare	0.059163213	9	13	97	101	101	101
41	0.0918	medium	0.06332368	6	1	10	14	14	14
42	0.5782933333333333	broad	0.020635903	5	2	12	13	13	13
43	0.2908733333333333	broad	0.044779003	5	5	7	9	9	9
44	0.006713333333333333	rare	0.015395761	8	6	58	92	92	92
45	0.0918	medium	0.030500054	5	1	6	9	9	9
46	0.0015	rare	0.013563275	10	122	390	528	528	528
47	0.006713333333333333	rare	0.028701246	6	9	50	114	114	114
48	0.006713333333333333	rare	0.03252065	4	3	32	47	47	47
49	0.2908733333333333	broad	0.025620699	7	9	14	27	27	27
50	0.5782933333333333	broad	0.0846473	2	1	3	3	3	3
51	0.030446666666666667	medium	0.02440679	4	1	19	25	25	25
52	0.0918	medium	0.021165967	7	3	33	62	62	62
53	0.006713333333333333	rare	0.04460746	8	3	20	60	60	60
54	0.0918	medium	0.025489748	8	5	61	123	123	123
55	0.030446666666666667	medium	0.0022947788	8	7	42	104	104	104
56	0.2908733333333333	broad	0.00935936	9	17	69	69	69	69
57	0.2908733333333333	broad	0.0052441955	5	2	7	11	11	11
58	0.2908733333333333	broad	0.0011951923	6	1	6	13	13	13
59	0.5782933333333333	broad	0.017216802	2	1	1	2	2	2
60	0.5782933333333333	broad	0.017151475	6	3	5	18	18	18
61	0.5782933333333333	broad	0.07275528	1	1	1	1	1	1
62	0.006713333333333333	rare	0.018375695	8	20	71	295	295	295
63	0.030446666666666667	medium	0.030914783	5	1	31	67	67	67
64	0.006713333333333333	rare	0.029665053	10	33	116	505	505	505
65	0.030446666666666667	medium	0.049537122	9	11	72	164	164	164
66	0.5782933333333333	broad	0.04302931	7	4	41	64	64	64
67	0.030446666666666667	medium	0.050902843	9	4	13	103	103	103
68	0.5782933333333333	broad	0.063608825	5	4	9	18	18	18
69	0.0918	medium	0.03827077	5	2	10	18	18	18
70	0.5782933333333333	broad	0.046558976	3	1	4	4	4	4
71	0.5782933333333333	broad	0.03864348	4	1	5	7	7	7
72	0.0918	medium	0.000764966	6	7	36	36	36	36
73	0.0918	medium	0.022030115	7	28	56	59	59	59
74	0.5782933333333333	broad	0.0045424104	8	12	27	27	27	27
75	0.0918	medium	0.0026599765	7	29	58	185	185	185
76	0.0918	medium	0.048074484	4	1	21	51	51	51
77	0.0002466666666666667	rare	0.011618793	8	8	36	56	56	56
78	0.006713333333333333	rare	0.025595546	7	2	20	33	33	33
79	0.030446666666666667	medium	0.002133906	9	12	30	31	31	31
80	0.5782933333333333	broad	0.07249236	2	1	1	2	2	2
81	0.5782933333333333	broad	0.08264136	4	1	3	13	13	13
82	0.030446666666666667	medium	0.07678741	5	2	17	30	30	30
83	0.0918	medium	0.0151968	7	3	16	16	16	16
84	0.0918	medium	0.015101671	5	2	116	117	117	117
85	0.2908733333333333	broad	0.0007972121	4	1	5	9	9	9
86	0.5782933333333333	broad	0.008969128	4	3	4	5	5	5
87	0.5782933333333333	broad	0.017766118	3	2	2	3	3	3
88	0.5782933333333333	broad	0.04720235	6	2	8	22	22	22
89	0.2908733333333333	broad	0.003210187	7	6	10	14	14	14
90	0.0918	medium	0.034806788	7	2	13	33	33	33
91	0.2908733333333333	broad	0.0005196333	6	2	32	60	60	60
92	0.0918	medium	0.05758953	5	2	31	36	36	36
93	0.0918	medium	0.022491395	6	1	9	11	11	11
94	0.0918	medium	0.0076891184	5	1	36	132	132	132
95	0.0918	medium	0.09465587	4	1	4	82	82	82
96	0.5782933333333333	broad	0.07327318	1	1	1	1	1	1
97	0.0918	medium	0.025073588	9	19	97	218	218	218
98	0.0015	rare	0.04064524	6	8	12	48	48	48
99	0.006713333333333333	rare	0.051525414	7	10	235	250	250	250
100	0.5782933333333333	broad	0.11409235	2	1	1	2	2	2
101	0.0015	rare	0.0058644414	9	31	101	119	119	119
102	0.0015	rare	0.011473477	10	38	96	98	98	98
103	0.0918	medium	0.02861154	7	6	22	25	25	25
104	0.5782933333333333	broad	0.022596717	5	1	90	188	188	188
105	0.0918	medium	0.008635938	7	11	28	128	128	128
106	0.0918	medium	0.012017846	8	3	24	36	36	36
107	0.5782933333333333	broad	0.036536813	3	2	2	3	3	3
108	0.0918	medium	0.03193724	6	4	28	172	172	172
109	0.006713333333333333	rare	0.08585501	9	29	86	197	197	197
110	0.2908733333333333	broad	0.065927505	3	1	11	16	16	16
111	0.006713333333333333	rare	0.034826815	6	3	74	163	163	163
112	0.030446666666666667	medium	0.023187399	7	6	36	48	48	48
113	0.006713333333333333	rare	0.023656845	8	13	76	76	76	76
114	0.2908733333333333	broad	0.05617541	2	1	2	2	2	2
115	0.5782933333333333	broad	0.05995679	3	1	5	5	5	5
116	0.0918	medium	0.015503287	7	4	28	28	28	28
117	0.5782933333333333	broad	0.069888294	2	1	1	9	9	9
118	0.2908733333333333	broad	0.055199385	4	1	27	49	49	49
119	0.006713333333333333	rare	0.064759016	7	5	50	80	80	80
120	0.5782933333333333	broad	0.02134645	6	3	6	7	7	7
121	0.006713333333333333	rare	0.07628292	10	37	126	167	167	167
122	0.0918	medium	0.04592645	7	5	71	93	93	93
123	0.5782933333333333	broad	0.02382946	5	3	33	336	336	336
124	0.006713333333333333	rare	0.023230612	7	2	106	233	233	233
125	0.5782933333333333	broad	0.008755863	6	2	94	115	115	115
126	0.2908733333333333	broad	0.017139018	8	5	36	77	77	77
127	0.5782933333333333	broad	0.013591468	4	2	3	9	9	9
128	0.5782933333333333	broad	0.07705611	2	1	1	3	3	3
129	0.030446666666666667	medium	0.016132593	6	10	14	67	67	67
130	0.2908733333333333	broad	0.08991015	2	1	1	53	53	53
131	0.2908733333333333	broad	0.0018299818	7	5	10	14	14	14
132	0.0015	rare	0.008868456	8	93	141	185	185	185
133	0.006713333333333333	rare	0.00198251	7	32	61	65	65	65
134	0.5782933333333333	broad	0.04323399	3	1	2	4	4	4
135	0.5782933333333333	broad	0.0066984296	3	2	9	35	35	35
136	0.0918	medium	0.026019216	5	1	21	41	41	41
137	0.0918	medium	0.03389877	2	2	4	4	4	4
138	0.5782933333333333	broad	0.0022354722	4	3	8	10	10	10
139	0.0918	medium	0.052896976	4	1	3	9	9	9
140	0.5782933333333333	broad	0.023700774	8	6	21	50	50	50
141	0.0918	medium	0.017896175	2	1	2	2	2	2
142	0.006713333333333333	rare	0.05152583	7	3	11	11	11	11
143	0.006713333333333333	rare	0.007096708	8	20	63	71	71	71
144	0.5782933333333333	broad	0.016944528	9	9	18	32	32	32
145	0.0015	rare	0.05331242	8	16	42	42	42	42
146	0.5782933333333333	broad	0.008688867	2	1	1	2	2	2
147	0.0918	medium	0.02123487	5	1	6	7	7	7
148	0.2908733333333333	broad	0.03270054	7	9	17	37	37	37
149	0.006713333333333333	rare	0.021362066	9	16	66	127	127	127
150	0.0918	medium	0.04381168	7	5	84	326	326	326
151	0.0918	medium	0.04287982	9	12	23	26	26	26
152	0.0918	medium	0.013934135	7	11	41	43	43	43
153	0.0918	medium	0.019451737	6	3	7	11	11	11
154	0.0918	medium	0.01475054	8	5	102	137	137	137
155	0.5782933333333333	broad	0.0074106455	8	3	47	164	164	164
156	0.5782933333333333	broad	0.060073793	7	2	15	20	20	20
157	0.2908733333333333	broad	0.06416291	4	1	13	31	31	31
158	0.2908733333333333	broad	0.070461154	4	1	4	60	60	60
159	0.5782933333333333	broad	0.0005111098	6	5	75	75	75	75
160	0.2908733333333333	broad	0.1100781	1	1	1	1	1	1
161	0.0918	medium	0.0025350451	8	5	65	296	296	296
162	0.2908733333333333	broad	0.03568828	3	1	2	11	11	11
163	0.5782933333333333	broad	0.076375246	2	1	3	3	3	3
164	0.2908733333333333	broad	0.03197688	5	5	9	17	17	17
165	0.0918	medium	0.021998644	5	1	7	9	9	9
166	0.030446666666666667	medium	0.05632156	8	3	83	188	188	188
167	0.0918	medium	0.013856769	2	1	1	8	8	8
168	0.2908733333333333	broad	0.017085612	7	4	50	144	144	144
169	0.030446666666666667	medium	0.054778814	2	1	1	4	4	4
170	0.2908733333333333	broad	0.009840786	2	1	2	2	2	2
171	0.5782933333333333	broad	0.009139001	6	4	9	13	13	13
172	0.5782933333333333	broad	0.021436095	7	3	7	22	22	22
173	0.0918	medium	0.020113707	4	1	23	145	145	145
174	0.006713333333333333	rare	0.0012379885	5	10	26	26	26	26
175	0.2908733333333333	broad	0.01161474	7	7	17	69	69	69
176	0.0918	medium	0.034166455	3	1	3	3	3	3
177	0.0918	medium	0.08428478	5	17	64	84	84	84
178	0.0918	medium	0.052337825	1	1	1	1	1	1
179	0.2908733333333333	broad	0.03434813	6	3	10	18	18	18
180	0.5782933333333333	broad	0.006118655	3	1	5	5	5	5
181	0.0918	medium	0.007974863	5	3	4	58	58	58
182	0.006713333333333333	rare	0.019789457	7	19	52	58	58	58
183	0.5782933333333333	broad	0.016902983	2	1	1	2	2	2
184	0.5782933333333333	broad	0.0053480864	4	1	7	29	29	29
185	0.0918	medium	0.049633443	4	1	4	43	43	43
186	0.5782933333333333	broad	0.0026378632	4	1	9	13	13	13
187	0.0918	medium	0.013972223	8	5	10	16	16	16
188	0.0918	medium	0.00986886	8	3	29	65	65	65
189	0.030446666666666667	medium	0.02051574	5	5	8	15	15	15
190	0.030446666666666667	medium	0.044792175	8	3	33	65	65	65
191	0.5782933333333333	broad	0.071840405	2	1	1	2	2	2
192	0.006713333333333333	rare	0.01760012	8	24	59	112	112	112
193	0.0918	medium	0.014991105	7	9	24	42	42	42
194	0.5782933333333333	broad	0.07484597	1	1	1	1	1	1
195	0.030446666666666667	medium	0.008500099	8	6	23	44	44	44
196	0.030446666666666667	medium	0.027210891	5	1	5	6	6	6
197	0.5782933333333333	broad	0.08900648	4	1	7	31	31	31
198	0.2908733333333333	broad	0.089354455	3	1	5	15	15	15
199	0.006713333333333333	rare	0.02850604	10	22	77	200	200	200
200	0.5782933333333333	broad	0.02244252	4	1	4	6	6	6
201	0.5782933333333333	broad	0.01902175	2	1	6	6	6	6
202	0.5782933333333333	broad	0.009981811	5	1	7	9	9	9
203	0.0918	medium	0.037724912	8	4	22	28	28	28
204	0.006713333333333333	rare	0.122234344	8	8	57	57	57	57
205	0.5782933333333333	broad	0.0011181831	3	1	3	3	3	3
206	0.5782933333333333	broad	0.012793064	3	1	2	3	3	3
207	0.2908733333333333	broad	0.055001378	4	1	21	204	204	204
208	0.006713333333333333	rare	0.0063611865	7	32	104	178	178	178
209	0.2908733333333333	broad	0.06233436	6	8	15	15	15	15
210	0.2908733333333333	broad	0.023457527	5	2	6	7	7	7
211	0.030446666666666667	medium	0.029164791	3	2	4	23	23	23
212	0.0015	rare	0.002796948	9	39	98	108	108	108
213	0.5782933333333333	broad	0.0022624135	5	1	14	31	31	31
214	0.2908733333333333	broad	0.0011327267	4	4	6	6	6	6
215	0.2908733333333333	broad	0.025167882	8	3	31	106	106	106
216	0.006713333333333333	rare	0.010618746	9	26	94	454	454	454
217	0.5782933333333333	broad	0.044395804	5	2	4	21	21	21
218	0.006713333333333333	rare	0.08267504	7	30	56	152	152	152
219	0.5782933333333333	broad	0.0050562024	7	3	13	86	86	86
220	0.030446666666666667	medium	0.0055691004	7	5	79	99	99	99
221	0.0918	medium	0.0062965155	5	1	5	13	13	13
222	0.0918	medium	0.047547042	5	1	5	12	12	12
223	0.0918	medium	0.02996391	3	1	2	11	11	11
224	0.0918	medium	0.079268634	6	3	13	34	34	34
225	0.5782933333333333	broad	0.014304221	5	1	6	7	7	7
226	0.006713333333333333	rare	0.006771207	9	35	130	199	199	199
227	0.0918	medium	0.048208416	2	1	1	6	6	6
228	0.0918	medium	0.058208168	4	1	5	10	10	10
229	0.2908733333333333	broad	0.013115823	8	5	43	104	104	104
230	0.5782933333333333	broad	0.013673484	6	2	9	55	55	55
231	0.5782933333333333	broad	0.06187558	7	2	13	14	14	14
232	0.2908733333333333	broad	0.045227885	6	4	7	10	10	10
233	0.5782933333333333	broad	0.017710507	7	3	76	79	79	79
234	0.006713333333333333	rare	0.06852424	8	9	86	97	97	97
235	0.006713333333333333	rare	0.02673906	9	70	203	544	544	544
236	0.2908733333333333	broad	0.023694932	9	10	43	71	71	71
237	0.0918	medium	0.0376938	4	2	3	22	22	22
238	0.006713333333333333	rare	0.0029072165	7	3	45	179	179	179
239	0.5782933333333333	broad	0.0156461	2	2	2	2	2	2
240	0.0918	medium	0.047072172	3	1	2	13	13	13
241	0.2908733333333333	broad	0.12844408	2	1	1	3	3	3
242	0.030446666666666667	medium	0.07053745	8	3	28	118	118	118
243	0.006713333333333333	rare	0.056716383	9	13	52	64	64	64
244	0.006713333333333333	rare	0.026453197	7	8	45	71	71	71
245	0.0918	medium	0.006451249	9	8	16	109	109	109
246	0.0918	medium	0.008495808	6	3	125	223	223	223
247	0.0918	medium	0.06462824	5	1	49	145	145	145
248	0.5782933333333333	broad	0.032233417	5	3	4	5	5	5
249	0.2908733333333333	broad	0.0043922067	7	6	21	88	88	88
250	0.0918	medium	0.012609601	4	2	11	14	14	14
251	0.006713333333333333	rare	0.010616779	6	3	8	18	18	18
252	0.006713333333333333	rare	0.11114812	9	9	72	77	77	77
253	0.006713333333333333	rare	0.037062585	10	14	63	64	64	64
254	0.0918	medium	0.016545773	7	3	21	66	66	66
255	0.0002466666666666667	rare	0.012429118	10	45	85	98	98	98
256	0.030446666666666667	medium	0.06409919	8	24	53	77	77	77
