nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	256	0.25390624999999994	0.0	154.5	233.0	158.22265625	34.4765625	0.0005274088541666667
1	broad	111	0.3405405405405405	0.0	151.0	233.0	152.02702702702703	68.45045045045045	0.0005067567567567568
1	medium	89	0.2764044943820225	0.0	165.0	233.0	164.12359550561797	13.460674157303371	0.0005470786516853933
1	rare	56	0.04642857142857143	0.0	151.0	233.0	161.125	0.5357142857142857	0.0005370833333333333
2	all	256	0.3640624999999999	0.0	300.5	444.75	302.76953125	66.421875	0.0010092317708333336
2	broad	111	0.49549549549549543	0.0	293.0	429.0	290.34234234234236	133.81981981981983	0.000967807807807808
2	medium	89	0.3662921348314606	0.0	299.0	492.59999999999945	308.30337078651684	23.39325842696629	0.001027677902621723
2	rare	56	0.09999999999999999	0.0	323.0	463.0	318.60714285714283	1.2142857142857142	0.0010620238095238094
4	all	256	0.4933593750000001	0.0	562.5	1034.0	588.46875	127.91796875	0.0019615625
4	broad	111	0.6504504504504506	0.2	538.0	921.5	560.1081081081081	255.87387387387386	0.001867027027027027
4	medium	89	0.5033707865168539	0.0	578.0	1034.0	614.438202247191	47.157303370786515	0.00204812734082397
4	rare	56	0.1660714285714285	0.0	589.0	1034.0	603.4107142857143	2.642857142857143	0.0020113690476190474
8	all	256	0.6164062500000002	0.0	1079.5	1710.75	1125.12890625	250.265625	0.0037504296874999996
8	broad	111	0.7783783783783783	0.2	1040.0	1647.5	1086.4234234234234	504.54954954954957	0.0036214114114114116
8	medium	89	0.6337078651685394	0.0	1089.0	1749.1999999999998	1152.5280898876404	87.15730337078652	0.003841760299625468
8	rare	56	0.26785714285714285	0.0	1117.0	1713.5	1158.3035714285713	5.464285714285714	0.0038610119047619044
16	all	256	0.730859375	0.0	2076.5	3583.25	2231.32421875	492.73828125	0.007437747395833335
16	broad	111	0.872972972972973	0.3	2015.0	3006.5	2133.5225225225226	994.1351351351351	0.007111741741741742
16	medium	89	0.7404494382022473	0.1	2102.0	3719.199999999999	2290.483146067416	169.58426966292134	0.007634943820224721
16	rare	56	0.43392857142857144	0.0	2154.5	3954.0	2331.160714285714	12.482142857142858	0.007770535714285714
32	all	256	0.833203125	0.1	4201.0	7713.75	4489.4453125	984.9140625	0.014964817708333333
32	broad	111	0.937837837837838	0.6	4131.0	5553.0	4320.828828828829	1974.8288288288288	0.01440276276276276
32	medium	89	0.8584269662921348	0.3	4333.0	7859.799999999998	4650.505617977528	354.9550561797753	0.015501685393258425
32	rare	56	0.5857142857142856	0.1	4252.0	7994.25	4567.696428571428	23.946428571428573	0.015225654761904761
64	all	256	0.9039062499999999	0.3	8545.0	14222.25	8928.65625	1966.7421875	0.0297621875
64	broad	111	0.9684684684684685	0.7	8442.0	10471.5	8644.738738738739	3894.711711711712	0.028815795795795796
64	medium	89	0.9224719101123596	0.5	8683.0	14362.599999999999	9250.393258426966	766.2359550561798	0.030834644194756552
64	rare	56	0.7464285714285713	0.3	8662.0	14305.0	8980.089285714286	53.17857142857143	0.029933630952380948
128	all	256	0.959765625	0.4	17560.5	24712.5	17971.30078125	3974.0078125	0.05990433593749999
128	broad	111	0.9855855855855856	0.8	17553.0	20430.0	17683.135135135137	7794.117117117117	0.05894378378378378
128	medium	89	0.9707865168539327	0.6	17821.0	24750.0	18346.79775280899	1628.629213483146	0.0611559925093633
128	rare	56	0.8910714285714285	0.4	17370.5	25519.5	17945.714285714286	129.48214285714286	0.05981904761904761
192	all	256	0.9808593750000001	0.5	27106.0	35894.5	27649.57421875	6116.91015625	0.09216524739583334
192	broad	111	0.9945945945945946	0.9	27204.0	30417.0	27355.81081081081	11911.072072072073	0.09118603603603605
192	medium	89	0.9887640449438202	0.6	27176.0	36397.399999999994	28097.96629213483	2596.9662921348313	0.09365988764044944
192	rare	56	0.9410714285714287	0.5	26821.0	36198.25	27519.23214285714	226.25	0.09173077380952381
256	all	256	0.989453125	0.6	37007.0	46412.0	37708.0546875	8325.73828125	0.125693515625
256	broad	111	0.9972972972972972	0.9	37192.0	41583.0	37443.02702702703	16179.783783783783	0.12481009009009007
256	medium	89	0.9943820224719101	0.7	37248.0	46471.2	38185.77528089887	3567.2696629213483	0.1272859176029963
256	rare	56	0.9660714285714287	0.6	36748.5	46998.25	37474.142857142855	320.4642857142857	0.12491380952380955
384	all	256	0.994140625	0.8	58432.5	70582.5	59277.09375	13172.78125	0.1975903125
384	broad	111	0.9981981981981982	0.9	58369.0	66203.5	59072.10810810811	25658.216216216217	0.196907027027027
384	medium	89	0.9988764044943821	0.9	58875.0	71201.4	60015.247191011236	5575.3707865168535	0.20005082397003743
384	rare	56	0.9785714285714285	0.8	57295.5	70604.25	58510.267857142855	499.32142857142856	0.19503422619047622
512	all	256	0.9964843749999999	0.8	82430.5	93401.25	82836.87109375	18476.609375	0.2761229036458334
512	broad	111	0.9981981981981982	0.9	82684.0	90832.5	82663.57657657658	36118.44144144144	0.27554525525525525
512	medium	89	1.0	1.0	82612.0	94848.79999999999	83729.34831460674	7670.988764044944	0.2790978277153558
512	rare	56	0.9874999999999999	0.8	80839.5	93089.25	81761.96428571429	681.1964285714286	0.27253988095238096
576	all	256	0.998828125	0.9	94988.5	105754.25	95291.8125	21302.99609375	0.31763937500000006
576	broad	111	1.0	1.0	94743.0	103207.0	95125.04504504504	41688.63063063063	0.3170834834834834
576	medium	89	1.0	1.0	95433.0	107266.2	96208.49438202247	8793.719101123595	0.3206949812734082
576	rare	56	0.994642857142857	0.9	93662.0	104423.0	94165.5	776.5714285714286	0.31388499999999997
768	all	256	0.99921875	0.9	134161.0	143426.0	134429.1171875	30163.0703125	0.44809705729166666
768	broad	111	1.0	1.0	134139.0	141424.5	134257.63963963964	59261.86486486487	0.4475254654654655
768	medium	89	1.0	1.0	135194.0	145813.8	135245.1573033708	12183.516853932584	0.450817191011236
768	rare	56	0.9964285714285713	0.9	132826.0	142885.25	133472.0892857143	1059.75	0.44490696428571425
1024	all	256	0.999609375	0.9	189675.0	196580.75	189575.87109375	42780.43359375	0.6319195703125
1024	broad	111	1.0	1.0	189321.0	195589.5	189328.34234234234	84616.53153153154	0.6310944744744744
1024	medium	89	1.0	1.0	190383.0	197141.2	190263.35955056178	16646.876404494382	0.6342111985018727
1024	rare	56	0.9982142857142857	0.9	188183.0	196480.5	188973.89285714287	1389.0	0.6299129761904761
1152	all	256	0.999609375	0.9	217479.5	223480.25	217627.390625	49248.0546875	0.7254246354166666
1152	broad	111	1.0	1.0	217307.0	223202.5	217592.7207207207	97829.36936936936	0.7253090690690692
1152	medium	89	1.0	1.0	218586.0	223545.2	218095.05617977527	18687.719101123595	0.7269835205992509
1152	rare	56	0.9982142857142857	0.9	216101.5	223120.75	216952.85714285713	1522.0535714285713	0.7231761904761903
1536	all	256	1.0	1.0	300000.0	300000.0	300000.0	68104.90625	1.0
1536	broad	111	1.0	1.0	300000.0	300000.0	300000.0	137754.7027027027	1.0
1536	medium	89	1.0	1.0	300000.0	300000.0	300000.0	22990.20224719101	1.0
1536	rare	56	1.0	1.0	300000.0	300000.0	300000.0	1749.2142857142858	1.0
