query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank	nprobe	truth_list_recall	candidates_visited	matching_candidates	database_fraction
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	1	0.3	118	3	0.0003933333333333333
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	2	0.3	423	3	0.00141
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	4	0.6	1034	6	0.0034466666666666665
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	8	0.7	1411	10	0.004703333333333334
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	16	0.7	2827	30	0.009423333333333334
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	32	0.8	6256	56	0.020853333333333335
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	64	0.8	14100	135	0.047
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	128	1.0	24759	267	0.08253
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	192	1.0	36079	383	0.12026333333333333
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	256	1.0	46697	474	0.15565666666666667
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	384	1.0	70324	768	0.23441333333333333
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	512	1.0	91451	984	0.30483666666666664
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	576	1.0	104131	1053	0.3471033333333333
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	768	1.0	140499	1362	0.46833
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	1024	1.0	189261	1673	0.63087
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	1152	1.0	216800	1833	0.7226666666666667
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92	1536	1.0	300000	2014	1.0
