query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.006713333333333333	rare	0.031800866	6	3	72	92	92	92
2	0.006713333333333333	rare	0.010093093	9	20	30	86	86	86
3	0.006713333333333333	rare	0.0045726895	9	33	50	79	79	79
4	0.0918	medium	0.072138846	4	1	26	136	136	136
5	0.2908733333333333	broad	0.0029011369	6	3	27	31	31	31
6	0.5782933333333333	broad	0.060181797	6	1	5	7	7	7
7	0.006713333333333333	rare	0.016776145	9	20	65	85	85	85
8	0.2908733333333333	broad	0.007517338	6	2	12	16	16	16
9	0.006713333333333333	rare	0.01678431	7	4	48	50	50	50
10	0.5782933333333333	broad	0.005547166	3	1	2	88	88	88
11	0.2908733333333333	broad	0.0012731552	7	4	17	17	17	17
12	0.0918	medium	0.010145485	7	13	30	34	34	34
13	0.030446666666666667	medium	0.03605932	5	3	11	11	11	11
14	0.0918	medium	0.028417706	4	3	32	32	32	32
15	0.006713333333333333	rare	0.016032755	6	9	112	202	202	202
16	0.5782933333333333	broad	0.026743412	5	3	10	211	211	211
17	0.2908733333333333	broad	0.011267722	5	1	9	28	28	28
18	0.5782933333333333	broad	0.02095157	8	4	15	15	15	15
19	0.0918	medium	0.0045402646	7	6	10	39	39	39
20	0.0918	medium	0.06708032	3	1	13	14	14	14
21	0.2908733333333333	broad	0.0076528788	8	5	75	108	108	108
22	0.006713333333333333	rare	0.009104967	9	42	92	107	107	107
23	0.2908733333333333	broad	0.0020415187	8	5	33	147	147	147
24	0.0918	medium	0.021766484	6	9	78	82	82	82
25	0.006713333333333333	rare	0.044863224	7	14	76	100	100	100
26	0.5782933333333333	broad	0.04162699	6	4	16	30	30	30
27	0.0918	medium	0.006628275	9	9	47	227	227	227
28	0.2908733333333333	broad	0.012065172	8	6	122	150	150	150
29	0.2908733333333333	broad	0.011194348	8	9	19	19	19	19
30	0.006713333333333333	rare	0.055089533	6	6	15	15	15	15
31	0.006713333333333333	rare	0.0006223321	6	3	14	17	17	17
32	0.030446666666666667	medium	0.011169672	5	10	20	20	20	20
33	0.0918	medium	0.04300648	4	1	4	118	118	118
34	0.5782933333333333	broad	0.031653047	6	2	7	165	165	165
35	0.030446666666666667	medium	0.06653279	10	53	98	157	157	157
36	0.2908733333333333	broad	0.0019506216	8	8	19	44	44	44
37	0.2908733333333333	broad	0.05992335	5	1	8	53	53	53
38	0.2908733333333333	broad	0.05367446	5	1	8	43	43	43
39	0.006713333333333333	rare	0.04482931	9	63	196	394	394	394
40	0.006713333333333333	rare	0.030153751	10	55	185	242	242	242
41	0.0918	medium	0.035195053	6	2	16	22	22	22
42	0.5782933333333333	broad	0.0116327405	7	9	23	25	25	25
43	0.2908733333333333	broad	0.005672574	5	3	30	32	32	32
44	0.006713333333333333	rare	0.04326856	10	25	78	90	90	90
45	0.0918	medium	0.010359347	5	2	6	10	10	10
46	0.0015	rare	0.0271101	10	148	520	798	798	798
47	0.006713333333333333	rare	0.011678815	6	18	164	168	168	168
48	0.006713333333333333	rare	0.005697906	7	3	69	543	543	543
49	0.2908733333333333	broad	0.03829485	6	3	21	25	25	25
50	0.5782933333333333	broad	0.00719434	4	3	7	9	9	9
51	0.030446666666666667	medium	0.0027735233	5	1	21	33	33	33
52	0.0918	medium	0.015951216	8	4	61	74	74	74
53	0.006713333333333333	rare	0.011172652	9	15	34	36	36	36
54	0.0918	medium	0.043488085	5	2	85	85	85	85
55	0.030446666666666667	medium	0.04415351	8	4	45	78	78	78
56	0.2908733333333333	broad	0.024143696	8	21	56	72	72	72
57	0.2908733333333333	broad	0.0023691058	6	5	12	23	23	23
58	0.2908733333333333	broad	0.010263503	7	3	13	63	63	63
59	0.5782933333333333	broad	0.021192491	2	2	2	2	2	2
60	0.5782933333333333	broad	0.038131356	4	1	4	23	23	23
61	0.5782933333333333	broad	0.030021012	1	1	1	1	1	1
62	0.006713333333333333	rare	0.019032538	7	25	59	673	673	673
63	0.030446666666666667	medium	0.01111877	8	3	20	73	73	73
64	0.006713333333333333	rare	0.024917424	8	21	171	1212	1212	1212
65	0.030446666666666667	medium	0.00906229	9	24	81	146	146	146
66	0.5782933333333333	broad	0.011138439	7	10	33	554	554	554
67	0.030446666666666667	medium	0.02049476	9	11	17	52	52	52
68	0.5782933333333333	broad	0.013380945	4	3	3	28	28	28
69	0.0918	medium	0.0050091743	5	3	7	7	7	7
70	0.5782933333333333	broad	0.045286298	5	1	7	14	14	14
71	0.5782933333333333	broad	0.019578695	6	2	5	12	12	12
72	0.0918	medium	0.002336502	7	26	32	56	56	56
73	0.0918	medium	0.0043589473	9	17	79	81	81	81
74	0.5782933333333333	broad	0.010726094	10	22	73	303	303	303
75	0.0918	medium	0.052460432	7	48	334	334	334	334
76	0.0918	medium	0.08673549	3	1	4	33	33	33
77	0.0002466666666666667	rare	0.016659856	8	5	28	153	153	153
78	0.006713333333333333	rare	0.0031648874	9	12	22	25	25	25
79	0.030446666666666667	medium	0.04897076	8	22	31	48	48	48
80	0.5782933333333333	broad	0.03694749	5	1	5	6	6	6
81	0.5782933333333333	broad	0.0004056096	4	2	7	56	56	56
82	0.030446666666666667	medium	0.018627703	8	3	8	27	27	27
83	0.0918	medium	0.036716163	6	2	22	23	23	23
84	0.0918	medium	0.038469315	5	3	100	121	121	121
85	0.2908733333333333	broad	0.05146575	4	1	4	8	8	8
86	0.5782933333333333	broad	0.076486826	2	1	1	2	2	2
87	0.5782933333333333	broad	0.031692803	3	1	4	24	24	24
88	0.5782933333333333	broad	0.037913978	6	3	10	19	19	19
89	0.2908733333333333	broad	0.029955864	6	2	17	88	88	88
90	0.0918	medium	0.0076477528	6	3	25	25	25	25
91	0.2908733333333333	broad	0.005635679	7	3	47	49	49	49
92	0.0918	medium	0.026022911	6	4	32	68	68	68
93	0.0918	medium	0.008725524	7	5	26	49	49	49
94	0.0918	medium	0.06320405	5	2	41	76	76	76
95	0.0918	medium	0.029916942	3	1	3	4	4	4
96	0.5782933333333333	broad	0.086924136	1	1	1	1	1	1
97	0.0918	medium	0.0031883717	10	35	134	210	210	210
98	0.0015	rare	0.022533953	6	5	22	54	54	54
99	0.006713333333333333	rare	0.030779004	6	18	345	434	434	434
100	0.5782933333333333	broad	0.03355187	3	1	2	4	4	4
101	0.0015	rare	0.00019317865	9	33	67	146	146	146
102	0.0015	rare	0.019673586	9	57	121	125	125	125
103	0.0918	medium	0.014874935	8	6	19	63	63	63
104	0.5782933333333333	broad	0.01987952	6	4	54	138	138	138
105	0.0918	medium	2.3007393e-5	8	9	87	87	87	87
106	0.0918	medium	0.016161919	8	6	41	47	47	47
107	0.5782933333333333	broad	0.07218379	5	1	8	23	23	23
108	0.0918	medium	0.022829115	5	8	22	108	108	108
109	0.006713333333333333	rare	0.07970524	9	41	129	169	169	169
110	0.2908733333333333	broad	0.009920657	4	2	3	7	7	7
111	0.006713333333333333	rare	0.023769736	5	5	156	426	426	426
112	0.030446666666666667	medium	0.042124093	6	9	27	106	106	106
113	0.006713333333333333	rare	0.02561158	9	47	94	95	95	95
114	0.2908733333333333	broad	0.04194802	3	1	4	6	6	6
115	0.5782933333333333	broad	0.011501253	3	1	7	10	10	10
116	0.0918	medium	0.040055454	7	30	36	64	64	64
117	0.5782933333333333	broad	0.06475639	1	1	1	1	1	1
118	0.2908733333333333	broad	0.06645733	4	1	12	40	40	40
119	0.006713333333333333	rare	0.06704044	8	30	75	129	129	129
120	0.5782933333333333	broad	0.045896053	5	1	12	22	22	22
121	0.006713333333333333	rare	0.010413647	10	52	210	236	236	236
122	0.0918	medium	0.0048825145	8	21	31	49	49	49
123	0.5782933333333333	broad	0.050652325	6	2	24	560	560	560
124	0.006713333333333333	rare	0.00948137	7	3	184	234	234	234
125	0.5782933333333333	broad	0.011076093	8	3	101	177	177	177
126	0.2908733333333333	broad	0.038819015	8	9	49	122	122	122
127	0.5782933333333333	broad	0.003519237	6	2	10	16	16	16
128	0.5782933333333333	broad	0.019694507	3	1	2	5	5	5
129	0.030446666666666667	medium	0.0059790015	5	16	24	24	24	24
130	0.2908733333333333	broad	0.089702785	4	1	8	243	243	243
131	0.2908733333333333	broad	0.0040575266	6	3	7	7	7	7
132	0.0015	rare	0.011589289	8	118	258	534	534	534
133	0.006713333333333333	rare	0.03683853	8	37	78	154	154	154
134	0.5782933333333333	broad	0.10474962	2	1	1	13	13	13
135	0.5782933333333333	broad	0.0011693239	5	7	23	40	40	40
136	0.0918	medium	0.03088212	6	4	7	63	63	63
137	0.0918	medium	0.07159662	4	1	5	8	8	8
138	0.5782933333333333	broad	0.0010040998	8	5	43	45	45	45
139	0.0918	medium	0.02035731	6	3	10	17	17	17
140	0.5782933333333333	broad	0.05484581	4	2	9	9	9	9
141	0.0918	medium	0.014137149	3	1	7	7	7	7
142	0.006713333333333333	rare	0.01397866	7	3	12	13	13	13
143	0.006713333333333333	rare	0.016368866	10	27	70	72	72	72
144	0.5782933333333333	broad	0.00842154	7	2	21	30	30	30
145	0.0015	rare	0.038764715	9	30	65	112	112	112
146	0.5782933333333333	broad	0.021220028	4	2	4	7	7	7
147	0.0918	medium	0.011411548	5	3	5	11	11	11
148	0.2908733333333333	broad	0.018533885	6	8	31	31	31	31
149	0.006713333333333333	rare	0.0100415945	7	8	79	119	119	119
150	0.0918	medium	0.026833713	8	5	111	509	509	509
151	0.0918	medium	0.005764425	10	16	23	32	32	32
152	0.0918	medium	0.046753407	9	8	180	190	190	190
153	0.0918	medium	0.03306824	6	1	8	9	9	9
154	0.0918	medium	0.0040971637	8	8	129	182	182	182
155	0.5782933333333333	broad	0.021428764	7	7	41	172	172	172
156	0.5782933333333333	broad	0.008532524	7	4	10	25	25	25
157	0.2908733333333333	broad	0.014672518	5	2	67	67	67	67
158	0.2908733333333333	broad	0.046491027	3	1	4	73	73	73
159	0.5782933333333333	broad	0.01897657	7	5	97	98	98	98
160	0.2908733333333333	broad	0.06955004	3	1	2	13	13	13
161	0.0918	medium	0.003683269	9	6	38	329	329	329
162	0.2908733333333333	broad	0.027883768	3	1	2	10	10	10
163	0.5782933333333333	broad	0.009742618	5	2	8	15	15	15
164	0.2908733333333333	broad	0.019520998	8	6	18	61	61	61
165	0.0918	medium	0.02279973	5	2	7	9	9	9
166	0.030446666666666667	medium	0.05259317	7	7	143	220	220	220
167	0.0918	medium	0.028847218	3	1	6	25	25	25
168	0.2908733333333333	broad	0.007331133	10	18	74	132	132	132
169	0.030446666666666667	medium	0.03290218	2	1	5	5	5	5
170	0.2908733333333333	broad	0.048024595	2	1	1	3	3	3
171	0.5782933333333333	broad	0.050241828	6	4	16	21	21	21
172	0.5782933333333333	broad	0.0013270974	6	2	5	9	9	9
173	0.0918	medium	0.03536105	4	2	65	148	148	148
174	0.006713333333333333	rare	0.02056241	7	15	55	55	55	55
175	0.2908733333333333	broad	0.021861792	9	16	30	55	55	55
176	0.0918	medium	0.00797075	4	2	3	5	5	5
177	0.0918	medium	0.050585926	7	14	97	129	129	129
178	0.0918	medium	0.07385069	2	1	1	3	3	3
179	0.2908733333333333	broad	0.03525734	8	4	9	17	17	17
180	0.5782933333333333	broad	0.002312541	5	3	4	6	6	6
181	0.0918	medium	0.07219964	6	3	6	58	58	58
182	0.006713333333333333	rare	0.041651547	8	13	61	69	69	69
183	0.5782933333333333	broad	0.013146758	2	2	2	2	2	2
184	0.5782933333333333	broad	0.016261876	5	3	7	39	39	39
185	0.0918	medium	0.0892576	3	1	2	54	54	54
186	0.5782933333333333	broad	0.04264611	3	2	2	8	8	8
187	0.0918	medium	0.006041646	7	2	13	16	16	16
188	0.0918	medium	0.016753316	8	9	43	133	133	133
189	0.030446666666666667	medium	0.025767505	7	7	13	17	17	17
190	0.030446666666666667	medium	0.01475358	10	6	62	103	103	103
191	0.5782933333333333	broad	0.025697947	5	1	9	10	10	10
192	0.006713333333333333	rare	0.02241379	9	32	145	155	155	155
193	0.0918	medium	0.012362301	5	17	28	28	28	28
194	0.5782933333333333	broad	0.050833523	2	1	1	6	6	6
195	0.030446666666666667	medium	0.03489542	8	13	24	41	41	41
196	0.030446666666666667	medium	0.0332703	4	1	12	23	23	23
197	0.5782933333333333	broad	0.062651396	5	2	9	12	12	12
198	0.2908733333333333	broad	0.0792613	6	1	11	27	27	27
199	0.006713333333333333	rare	0.017626643	10	23	152	180	180	180
200	0.5782933333333333	broad	0.02503848	5	1	7	9	9	9
201	0.5782933333333333	broad	0.014513075	5	5	15	19	19	19
