nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	256	0.246875	0.0	150.0	230.0	155.30078125	34.09375	0.0005176692708333335
1	broad	111	0.3297297297297297	0.0	146.0	230.0	148.86486486486487	68.06306306306307	0.0004962162162162162
1	medium	89	0.26853932584269663	0.0	156.0	230.0	159.1123595505618	12.831460674157304	0.000530374531835206
1	rare	56	0.048214285714285716	0.0	156.0	230.0	162.0	0.5535714285714286	0.0005399999999999999
2	all	256	0.36171875	0.0	292.0	457.0	304.5	66.3125	0.0010149999999999998
2	broad	111	0.4774774774774774	0.0	286.0	426.0	291.2882882882883	133.85585585585585	0.0009709609609609612
2	medium	89	0.3730337078651685	0.0	282.0	538.3999999999997	310.8988764044944	22.921348314606742	0.0010363295880149812
2	rare	56	0.1142857142857143	0.0	317.0	475.0	320.51785714285717	1.3928571428571428	0.0010683928571428572
4	all	256	0.487890625	0.0	555.5	1040.0	582.79296875	126.78125	0.0019426432291666667
4	broad	111	0.6378378378378378	0.0	530.0	925.5	556.9549549549549	255.16216216216216	0.0018565165165165165
4	medium	89	0.5044943820224718	0.0	580.0	1040.0	608.3595505617977	44.842696629213485	0.0020278651685393264
4	rare	56	0.1642857142857143	0.0	588.0	1040.0	593.375	2.5357142857142856	0.0019779166666666665
8	all	256	0.6144531249999999	0.0	1080.0	1705.0	1124.98828125	249.765625	0.0037499609375
8	broad	111	0.7702702702702703	0.2	1047.0	1606.0	1080.4414414414414	503.26126126126127	0.0036014714714714706
8	medium	89	0.6359550561797753	0.0	1095.0	1724.7999999999997	1152.9325842696628	87.11235955056179	0.003843108614232209
8	rare	56	0.27142857142857146	0.0	1149.0	1711.0	1168.875	5.803571428571429	0.00389625
16	all	256	0.7261718749999999	0.0	2082.0	3475.0	2223.1875	490.734375	0.007410625000000001
16	broad	111	0.8675675675675676	0.4	2049.0	3065.5	2132.5135135135133	989.2342342342342	0.0071083783783783775
16	medium	89	0.744943820224719	0.1	2112.0	3559.6	2276.9438202247193	170.51685393258427	0.007589812734082399
16	rare	56	0.41607142857142865	0.0	2155.5	3567.75	2317.4821428571427	11.553571428571429	0.0077249404761904755
32	all	256	0.8328125000000001	0.0	4251.5	7745.75	4516.3984375	987.70703125	0.015054661458333335
32	broad	111	0.9315315315315316	0.6	4139.0	5500.5	4319.405405405405	1973.6216216216217	0.014398018018018018
32	medium	89	0.8629213483146068	0.3	4360.0	7798.5999999999985	4696.730337078651	364.7865168539326	0.015655767790262173
32	rare	56	0.5892857142857143	0.0	4392.5	8365.25	4620.267857142857	23.482142857142858	0.015400892857142856
64	all	256	0.9113281249999999	0.3	8619.5	14424.0	8946.6171875	1970.79296875	0.029822057291666666
64	broad	111	0.9693693693693693	0.7	8552.0	10309.5	8648.504504504504	3895.846846846847	0.02882834834834835
64	medium	89	0.9247191011235957	0.4	8670.0	14508.399999999998	9268.932584269663	776.5955056179776	0.030896441947565547
64	rare	56	0.775	0.3	8612.5	14677.25	9025.267857142857	52.982142857142854	0.03008422619047619
128	all	256	0.9574218750000001	0.4	17535.0	24776.5	17947.33984375	3966.71875	0.05982446614583334
128	broad	111	0.9837837837837838	0.8	17512.0	20364.0	17648.045045045044	7777.711711711711	0.0588268168168168
128	medium	89	0.9640449438202249	0.6	17723.0	24843.4	18339.101123595505	1626.573033707865	0.0611303370786517
128	rare	56	0.8946428571428572	0.4	17354.5	25666.25	17917.964285714286	131.94642857142858	0.05972654761904761
192	all	256	0.98125	0.5	27054.5	35776.75	27573.74609375	6099.98828125	0.09191248697916665
192	broad	111	0.9945945945945946	0.8	27150.0	30984.5	27283.027027027027	11882.576576576577	0.09094342342342343
192	medium	89	0.9865168539325844	0.6	27038.0	36432.0	28009.370786516854	2584.2808988764045	0.09336456928838953
192	rare	56	0.9464285714285713	0.5	26756.0	35797.75	27457.660714285714	225.53571428571428	0.0915255357142857
256	all	256	0.989453125	0.6	37078.0	46181.25	37661.84765625	8316.7890625	0.12553949218749996
256	broad	111	0.9981981981981982	0.9	37115.0	41644.5	37387.02702702703	16163.468468468469	0.12462342342342342
256	medium	89	0.9932584269662922	0.6	37235.0	46653.99999999999	38194.38202247191	3562.6404494382023	0.12731460674157302
256	rare	56	0.9660714285714285	0.6	36955.5	46551.5	37360.232142857145	319.25	0.12453410714285713
384	all	256	0.9953124999999999	0.8	58223.5	70402.0	59161.34375	13119.78515625	0.19720447916666667
384	broad	111	0.9990990990990991	0.9	58257.0	65667.0	58901.72072072072	25553.54954954955	0.196339069069069
384	medium	89	0.9988764044943821	0.9	58681.0	71518.4	59905.213483146064	5553.6292134831465	0.1996840449438203
384	rare	56	0.9821428571428571	0.8	57786.0	70230.5	58493.732142857145	499.07142857142856	0.19497910714285713
512	all	256	0.996484375	0.8	82014.5	93579.0	82755.13671875	18453.76171875	0.2758504557291667
512	broad	111	0.9990990990990991	0.9	82097.0	91419.0	82545.84684684685	36065.32432432433	0.27515282282282283
512	medium	89	0.9988764044943821	0.9	82774.0	95259.0	83675.91011235955	7671.662921348315	0.27891970037453184
512	rare	56	0.9875	0.8	80960.0	93112.25	81706.60714285714	680.9642857142857	0.27235535714285714
576	all	256	0.998828125	0.9	94722.0	106112.5	95149.95703125	21270.21484375	0.3171665234374999
576	broad	111	1.0	1.0	94233.0	103124.0	94941.54054054055	41617.09009009009	0.3164718018018018
576	medium	89	1.0	1.0	95425.0	108057.79999999999	96115.05617977527	8789.719101123595	0.32038352059925096
576	rare	56	0.994642857142857	0.9	93317.5	105214.0	94029.25	774.875	0.31343083333333344
768	all	256	0.99921875	0.9	134231.0	143198.25	134224.015625	30114.44140625	0.44741338541666664
768	broad	111	1.0	1.0	134037.0	141342.0	133971.66666666666	59179.13513513513	0.44657222222222215
768	medium	89	1.0	1.0	134796.0	144964.19999999998	135095.67415730338	12147.561797752809	0.4503189138576779
768	rare	56	0.9964285714285713	0.9	132798.5	141881.0	133338.89285714287	1058.5714285714287	0.44446297619047614
1024	all	256	0.999609375	0.9	189122.5	195999.25	189152.62109375	42708.05078125	0.6305087369791667
1024	broad	111	1.0	1.0	189109.0	194793.5	188925.7027027027	84490.46846846846	0.6297523423423422
1024	medium	89	1.0	1.0	189967.0	196639.0	189778.61797752808	16598.20224719101	0.6325953932584271
1024	rare	56	0.9982142857142857	0.9	187818.5	196027.0	188607.51785714287	1385.3392857142858	0.6286917261904762
1152	all	256	0.999609375	0.9	217208.0	223017.0	217270.2578125	49178.78515625	0.7242341927083334
1152	broad	111	1.0	1.0	217062.0	222786.0	217289.71171171172	97706.14414414414	0.724299039039039
1152	medium	89	1.0	1.0	217859.0	223069.4	217598.06741573033	18643.662921348314	0.7253268913857677
1152	rare	56	0.9982142857142857	0.9	216234.0	222759.0	216710.7142857143	1519.6607142857142	0.7223690476190475
1536	all	256	1.0	1.0	300000.0	300000.0	300000.0	68104.90625	1.0
1536	broad	111	1.0	1.0	300000.0	300000.0	300000.0	137754.7027027027	1.0
1536	medium	89	1.0	1.0	300000.0	300000.0	300000.0	22990.20224719101	1.0
1536	rare	56	1.0	1.0	300000.0	300000.0	300000.0	1749.2142857142858	1.0
