query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank	nprobe	truth_list_recall	candidates_visited	matching_candidates	database_fraction
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	1	0.3	130	3	0.0004333333333333333
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	2	0.3	426	3	0.00142
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	4	0.5	1040	5	0.0034666666666666665
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	8	0.5	1602	11	0.00534
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	16	0.6	2856	26	0.00952
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	32	0.8	6531	57	0.02177
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	64	0.8	14204	136	0.04734666666666667
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	128	1.0	24829	266	0.08276333333333333
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	192	1.0	35226	382	0.11742
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	256	1.0	46221	493	0.15407
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	384	1.0	69807	768	0.23269
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	512	1.0	92838	973	0.30946
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	576	1.0	104926	1072	0.34975333333333336
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	768	1.0	140961	1355	0.46987
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	1024	1.0	190040	1690	0.6334666666666666
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	1152	1.0	216529	1828	0.7217633333333333
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96	1536	1.0	300000	2014	1.0
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	1	0.0	215	2	0.0007166666666666667
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	2	0.0	390	2	0.0013
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	4	0.1	632	3	0.002106666666666667
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	8	0.1	1291	10	0.0043033333333333335
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	16	0.3	2233	26	0.007443333333333333
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	32	0.7	4292	49	0.014306666666666667
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	64	0.8	9535	81	0.03178333333333333
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	128	0.9	19084	204	0.06361333333333333
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	192	1.0	27844	331	0.09281333333333333
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	256	1.0	38348	440	0.12782666666666667
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	384	1.0	58122	567	0.19374
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	512	1.0	81781	770	0.2726033333333333
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	576	1.0	95192	874	0.3173066666666667
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	768	1.0	134776	1189	0.44925333333333334
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	1024	1.0	186688	1549	0.6222933333333334
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	1152	1.0	215480	1704	0.7182666666666667
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172	1536	1.0	300000	2014	1.0
3	0.006713333333333333	rare	0.0071793795	9	30	45	50	50	50	1	0.0	211	0	0.0007033333333333334
3	0.006713333333333333	rare	0.0071793795	9	30	45	50	50	50	2	0.0	386	0	0.0012866666666666666
