query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.006713333333333333	rare	0.033218622	7	4	70	96	96	96
2	0.006713333333333333	rare	0.002011001	8	19	84	172	172	172
3	0.006713333333333333	rare	0.0071793795	9	30	45	50	50	50
4	0.0918	medium	0.062106907	4	2	21	194	194	194
5	0.2908733333333333	broad	0.0060679913	7	4	25	30	30	30
6	0.5782933333333333	broad	0.06564379	6	1	6	7	7	7
7	0.006713333333333333	rare	0.015599549	9	19	57	73	73	73
8	0.2908733333333333	broad	0.0010564923	7	5	29	63	63	63
9	0.006713333333333333	rare	0.014182627	6	5	48	50	50	50
10	0.5782933333333333	broad	0.005547166	3	1	2	175	175	175
11	0.2908733333333333	broad	0.0012731552	7	4	15	16	16	16
12	0.0918	medium	0.009436965	8	11	29	30	30	30
13	0.030446666666666667	medium	0.033787668	5	2	27	27	27	27
14	0.0918	medium	0.028983831	4	3	28	28	28	28
15	0.006713333333333333	rare	0.038143992	6	8	117	170	170	170
16	0.5782933333333333	broad	0.019332707	5	3	10	207	207	207
17	0.2908733333333333	broad	0.010629237	5	1	9	19	19	19
18	0.5782933333333333	broad	0.02095157	8	4	11	17	17	17
19	0.0918	medium	0.003094554	7	5	12	44	44	44
20	0.0918	medium	0.07286495	2	1	1	13	13	13
21	0.2908733333333333	broad	0.0076528788	8	4	73	99	99	99
22	0.006713333333333333	rare	0.0037243366	8	34	94	103	103	103
23	0.2908733333333333	broad	0.0009846687	8	5	35	132	132	132
24	0.0918	medium	0.012382925	6	7	76	76	76	76
25	0.006713333333333333	rare	0.06073177	7	13	74	101	101	101
26	0.5782933333333333	broad	0.04864639	6	4	17	28	28	28
27	0.0918	medium	0.0124669075	8	12	124	223	223	223
28	0.2908733333333333	broad	0.013610482	8	6	118	174	174	174
29	0.2908733333333333	broad	0.019995034	8	9	28	28	28	28
30	0.006713333333333333	rare	0.05205834	5	5	16	16	16	16
31	0.006713333333333333	rare	0.0067003965	7	3	30	40	40	40
32	0.030446666666666667	medium	0.011863112	6	7	20	20	20	20
33	0.0918	medium	0.03513199	4	1	4	186	186	186
34	0.5782933333333333	broad	0.032506168	7	4	21	169	169	169
35	0.030446666666666667	medium	0.041796684	10	51	98	159	159	159
36	0.2908733333333333	broad	0.0009698272	8	7	19	44	44	44
37	0.2908733333333333	broad	0.059061944	5	1	8	54	54	54
38	0.2908733333333333	broad	0.055345416	5	1	8	44	44	44
39	0.006713333333333333	rare	0.030576527	9	56	184	494	494	494
40	0.006713333333333333	rare	0.033138692	10	55	118	241	241	241
41	0.0918	medium	0.046984315	6	3	16	22	22	22
42	0.5782933333333333	broad	0.018336535	8	6	18	26	26	26
43	0.2908733333333333	broad	0.0061895847	5	3	25	30	30	30
44	0.006713333333333333	rare	0.05260074	10	25	75	84	84	84
45	0.0918	medium	0.010097742	6	2	8	11	11	11
46	0.0015	rare	0.024776876	10	151	526	787	787	787
47	0.006713333333333333	rare	0.009121418	6	19	148	170	170	170
48	0.006713333333333333	rare	0.009344816	7	4	66	333	333	333
49	0.2908733333333333	broad	0.045673072	6	4	22	25	25	25
50	0.5782933333333333	broad	0.00864166	5	3	7	9	9	9
51	0.030446666666666667	medium	0.0092353225	5	2	20	31	31	31
52	0.0918	medium	0.022999287	8	4	60	73	73	73
53	0.006713333333333333	rare	0.00711149	9	15	33	36	36	36
54	0.0918	medium	0.03498918	6	2	42	87	87	87
55	0.030446666666666667	medium	0.04415351	8	3	43	72	72	72
56	0.2908733333333333	broad	0.03451091	8	20	57	75	75	75
57	0.2908733333333333	broad	0.0055123568	6	5	13	24	24	24
58	0.2908733333333333	broad	0.0044639707	7	3	12	61	61	61
59	0.5782933333333333	broad	0.010420442	2	2	2	2	2	2
60	0.5782933333333333	broad	0.04357332	4	1	4	24	24	24
61	0.5782933333333333	broad	0.030021012	1	1	1	1	1	1
62	0.006713333333333333	rare	0.01917237	7	28	45	710	710	710
63	0.030446666666666667	medium	0.011813521	6	3	20	68	68	68
64	0.006713333333333333	rare	0.05996847	8	22	171	1213	1213	1213
65	0.030446666666666667	medium	0.00906229	9	21	146	157	157	157
66	0.5782933333333333	broad	0.011138439	7	10	42	134	134	134
67	0.030446666666666667	medium	0.02049476	9	11	17	55	55	55
68	0.5782933333333333	broad	0.012421548	4	4	4	29	29	29
69	0.0918	medium	0.0014725924	5	4	8	8	8	8
70	0.5782933333333333	broad	0.05938351	6	3	11	13	13	13
71	0.5782933333333333	broad	0.019578695	6	2	5	12	12	12
72	0.0918	medium	0.0048637986	6	17	17	42	42	42
73	0.0918	medium	0.0043589473	9	17	83	115	115	115
74	0.5782933333333333	broad	0.011381805	10	21	75	339	339	339
75	0.0918	medium	0.05803448	7	72	343	343	343	343
76	0.0918	medium	0.08849263	3	1	4	33	33	33
77	0.0002466666666666667	rare	0.011053562	8	6	28	35	35	35
78	0.006713333333333333	rare	0.012856305	9	11	24	26	26	26
79	0.030446666666666667	medium	0.025313854	8	19	54	66	66	66
80	0.5782933333333333	broad	0.023391664	5	2	5	6	6	6
81	0.5782933333333333	broad	0.0004056096	4	2	8	56	56	56
82	0.030446666666666667	medium	0.013954163	7	3	7	9	9	9
83	0.0918	medium	0.034949422	5	2	12	25	25	25
84	0.0918	medium	0.03255272	5	2	119	163	163	163
85	0.2908733333333333	broad	0.05080843	4	1	4	6	6	6
86	0.5782933333333333	broad	0.070445	2	1	1	2	2	2
87	0.5782933333333333	broad	0.029287934	4	1	6	23	23	23
88	0.5782933333333333	broad	0.03576833	6	3	10	20	20	20
89	0.2908733333333333	broad	0.03692949	6	2	30	64	64	64
90	0.0918	medium	0.0056658387	7	5	21	21	21	21
91	0.2908733333333333	broad	0.001160264	7	3	45	56	56	56
92	0.0918	medium	0.026022911	6	4	33	63	63	63
93	0.0918	medium	0.028220654	7	4	22	48	48	48
94	0.0918	medium	0.050215006	5	2	34	170	170	170
95	0.0918	medium	0.029916942	3	1	3	4	4	4
96	0.5782933333333333	broad	0.09154481	1	1	1	1	1	1
97	0.0918	medium	0.0071753263	9	34	137	206	206	206
98	0.0015	rare	0.041974723	6	6	22	52	52	52
99	0.006713333333333333	rare	0.03136885	6	17	362	441	441	441
100	0.5782933333333333	broad	0.033117533	3	1	2	5	5	5
101	0.0015	rare	0.0021363497	9	30	63	140	140	140
102	0.0015	rare	0.018671751	9	39	88	120	120	120
103	0.0918	medium	0.011078596	8	6	20	67	67	67
104	0.5782933333333333	broad	0.0044306517	6	4	57	138	138	138
105	0.0918	medium	0.016432583	6	9	22	44	44	44
106	0.0918	medium	0.014702141	8	6	36	50	50	50
107	0.5782933333333333	broad	0.06503141	5	1	8	23	23	23
108	0.0918	medium	0.019998193	5	8	22	106	106	106
109	0.006713333333333333	rare	0.08115578	9	43	131	174	174	174
110	0.2908733333333333	broad	0.009920657	4	2	3	7	7	7
111	0.006713333333333333	rare	0.02211225	5	5	153	184	184	184
112	0.030446666666666667	medium	0.046206653	5	5	34	110	110	110
113	0.006713333333333333	rare	0.02561158	9	38	94	101	101	101
114	0.2908733333333333	broad	0.04194802	3	1	4	6	6	6
115	0.5782933333333333	broad	0.011501253	4	1	9	10	10	10
116	0.0918	medium	0.052135527	7	14	33	43	43	43
117	0.5782933333333333	broad	0.07043356	1	1	1	1	1	1
118	0.2908733333333333	broad	0.055341005	4	1	12	44	44	44
119	0.006713333333333333	rare	0.060985982	8	21	44	131	131	131
120	0.5782933333333333	broad	0.04297912	5	1	13	21	21	21
121	0.006713333333333333	rare	0.010413647	10	51	199	232	232	232
122	0.0918	medium	0.002194941	8	17	30	49	49	49
123	0.5782933333333333	broad	0.05561483	7	3	216	576	576	576
124	0.006713333333333333	rare	0.0075529814	7	6	222	245	245	245
125	0.5782933333333333	broad	0.002185464	8	3	99	170	170	170
126	0.2908733333333333	broad	0.016438484	8	10	49	118	118	118
127	0.5782933333333333	broad	0.003519237	6	2	9	17	17	17
128	0.5782933333333333	broad	0.029059708	2	1	2	2	2	2
129	0.030446666666666667	medium	0.0032963157	6	22	30	89	89	89
130	0.2908733333333333	broad	0.08830792	4	1	8	248	248	248
131	0.2908733333333333	broad	0.00028693676	6	4	7	7	7	7
132	0.0015	rare	0.026911259	8	92	256	521	521	521
133	0.006713333333333333	rare	0.039043427	8	29	54	149	149	149
134	0.5782933333333333	broad	0.10549241	2	1	1	13	13	13
135	0.5782933333333333	broad	0.0001732707	5	9	23	31	31	31
136	0.0918	medium	0.017955542	5	3	7	54	54	54
137	0.0918	medium	0.0747025	4	1	5	7	7	7
138	0.5782933333333333	broad	0.0004095435	8	5	44	46	46	46
139	0.0918	medium	0.026204646	6	4	9	17	17	17
140	0.5782933333333333	broad	0.051173866	5	2	6	8	8	8
141	0.0918	medium	0.014351428	3	1	7	7	7	7
142	0.006713333333333333	rare	0.010888219	8	7	19	34	34	34
143	0.006713333333333333	rare	0.021722853	9	27	58	69	69	69
144	0.5782933333333333	broad	0.0029810667	7	2	21	33	33	33
145	0.0015	rare	0.0379892	9	28	67	79	79	79
146	0.5782933333333333	broad	0.024372399	4	2	4	7	7	7
147	0.0918	medium	0.015993834	6	3	9	11	11	11
148	0.2908733333333333	broad	0.020843804	6	6	33	33	33	33
149	0.006713333333333333	rare	0.0099774	7	8	74	116	116	116
150	0.0918	medium	0.02672416	8	3	111	536	536	536
151	0.0918	medium	0.008033693	9	16	28	34	34	34
152	0.0918	medium	0.05553317	9	8	88	203	203	203
153	0.0918	medium	0.023391128	6	1	6	10	10	10
154	0.0918	medium	0.0052574873	9	16	155	175	175	175
155	0.5782933333333333	broad	0.021428764	7	5	40	182	182	182
156	0.5782933333333333	broad	0.026987433	7	4	9	25	25	25
157	0.2908733333333333	broad	0.009355009	5	2	38	56	56	56
158	0.2908733333333333	broad	0.043927908	4	1	4	104	104	104
159	0.5782933333333333	broad	0.024255991	7	5	99	102	102	102
160	0.2908733333333333	broad	0.06955004	3	1	2	11	11	11
161	0.0918	medium	0.0016699433	9	7	37	345	345	345
162	0.2908733333333333	broad	0.030481577	4	1	4	8	8	8
163	0.5782933333333333	broad	0.008621216	5	2	8	15	15	15
164	0.2908733333333333	broad	0.022163987	7	7	10	41	41	41
165	0.0918	medium	0.02119857	7	2	8	10	10	10
166	0.030446666666666667	medium	0.05259317	7	7	140	211	211	211
167	0.0918	medium	0.035413504	2	1	1	7	7	7
168	0.2908733333333333	broad	0.0032600164	10	19	66	137	137	137
169	0.030446666666666667	medium	0.032187223	2	1	4	4	4	4
170	0.2908733333333333	broad	0.048290014	2	1	3	3	3	3
171	0.5782933333333333	broad	0.044870555	6	2	19	21	21	21
172	0.5782933333333333	broad	0.0013716221	6	3	5	8	8	8
173	0.0918	medium	0.02311176	4	2	50	191	191	191
174	0.006713333333333333	rare	0.023928225	6	21	47	47	47	47
175	0.2908733333333333	broad	0.015660286	9	11	42	55	55	55
176	0.0918	medium	0.0007624626	4	2	3	5	5	5
177	0.0918	medium	0.054590702	4	2	30	30	30	30
178	0.0918	medium	0.08213776	2	1	1	2	2	2
179	0.2908733333333333	broad	0.038836837	8	4	8	17	17	17
180	0.5782933333333333	broad	0.0057272315	6	3	6	8	8	8
181	0.0918	medium	0.07719129	6	3	6	58	58	58
182	0.006713333333333333	rare	0.0402928	9	24	65	94	94	94
183	0.5782933333333333	broad	0.006008804	2	2	2	2	2	2
184	0.5782933333333333	broad	0.01733005	6	5	9	38	38	38
185	0.0918	medium	0.09397274	3	1	2	26	26	26
186	0.5782933333333333	broad	0.036485612	4	2	9	18	18	18
187	0.0918	medium	0.0029581785	6	4	8	16	16	16
188	0.0918	medium	0.018271387	8	10	43	132	132	132
189	0.030446666666666667	medium	0.024737298	7	7	13	17	17	17
