nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	256	0.23671875	0.0	119.5	233.0	130.05078125	29.09765625	0.00043350260416666656
1	broad	111	0.3234234234234234	0.0	106.0	233.0	125.24324324324324	57.55855855855856	0.0004174774774774774
1	medium	89	0.25280898876404495	0.0	130.0	233.0	139.5505617977528	11.595505617977528	0.0004651685393258428
1	rare	56	0.0392857142857143	0.0	106.0	232.25	124.48214285714286	0.5	0.00041494047619047614
2	all	256	0.346484375	0.0	238.0	381.5	244.7109375	53.9375	0.0008157031250000001
2	broad	111	0.45765765765765765	0.0	231.0	375.0	232.44144144144144	107.35135135135135	0.0007748048048048046
2	medium	89	0.3606741573033707	0.0	246.0	449.2	260.70786516853934	20.43820224719101	0.0008690262172284644
2	rare	56	0.10357142857142856	0.0	237.0	381.5	243.60714285714286	1.3035714285714286	0.0008120238095238096
4	all	256	0.47656249999999994	0.0	451.0	684.0	459.52734375	102.77734375	0.0015317578125
4	broad	111	0.6333333333333335	0.1	448.0	630.5	447.3693693693694	206.36036036036037	0.0014912312312312312
4	medium	89	0.47078651685393264	0.0	454.0	684.0	470.561797752809	36.752808988764045	0.0015685393258426969
4	rare	56	0.17500000000000002	0.0	460.0	678.75	466.0892857142857	2.392857142857143	0.0015536309523809522
8	all	256	0.59375	0.0	847.5	1246.0	877.5859375	195.6953125	0.0029252864583333336
8	broad	111	0.7576576576576577	0.1	818.0	1187.0	855.6036036036036	392.72972972972974	0.0028520120120120117
8	medium	89	0.5932584269662922	0.1	875.0	1281.9999999999998	910.0674157303371	70.19101123595506	0.0030335580524344574
8	rare	56	0.2696428571428572	0.0	877.5	1175.0	869.5357142857143	4.607142857142857	0.002898452380952381
16	all	256	0.706640625	0.0	1651.5	2403.5	1696.1953125	381.0625	0.0056539843750000015
16	broad	111	0.863063063063063	0.4	1603.0	2313.0	1658.918918918919	765.7117117117117	0.005529729729729731
16	medium	89	0.7202247191011237	0.1	1687.0	2309.7999999999997	1732.9775280898875	135.46067415730337	0.0057765917602996255
16	rare	56	0.375	0.0	1660.0	2432.75	1711.625	8.964285714285714	0.005705416666666667
32	all	256	0.8179687500000001	0.2	3263.5	5036.75	3413.0703125	755.5859375	0.011376901041666667
32	broad	111	0.9306306306306309	0.5	3180.0	4730.0	3307.018018018018	1510.6666666666667	0.011023393393393394
32	medium	89	0.8370786516853934	0.3	3330.0	5056.0	3532.752808988764	277.29213483146066	0.011775842696629214
32	rare	56	0.5642857142857143	0.2	3338.0	4932.0	3433.0714285714284	19.053571428571427	0.011443571428571428
64	all	256	0.895703125	0.2	6590.5	10748.0	6903.26171875	1523.40625	0.02301087239583333
64	broad	111	0.9711711711711712	0.7	6517.0	8511.5	6684.783783783784	3019.774774774775	0.022282612612612614
64	medium	89	0.9146067415730341	0.5	6754.0	10889.4	7156.0224719101125	589.3932584269663	0.023853408239700377
64	rare	56	0.7160714285714285	0.2	6747.0	10731.5	6934.607142857143	41.80357142857143	0.023115357142857142
128	all	256	0.952734375	0.3	13642.0	19456.5	13912.11328125	3077.70703125	0.0463737109375
128	broad	111	0.990990990990991	0.9	13611.0	15907.5	13664.945945945947	6035.441441441441	0.04554981981981982
128	medium	89	0.9606741573033709	0.5	13837.0	19413.399999999994	14232.494382022473	1264.5505617977528	0.04744164794007491
128	rare	56	0.8642857142857141	0.3	13324.5	19503.0	13892.857142857143	96.67857142857143	0.046309523809523814
256	all	256	0.984375	0.6	28414.5	35419.75	28706.2578125	6344.96875	0.09568752604166665
256	broad	111	0.9981981981981982	0.9	28509.0	32082.5	28462.414414414416	12325.702702702703	0.0948747147147147
256	medium	89	0.9887640449438202	0.6	28661.0	36810.0	29104.078651685395	2727.123595505618	0.09701359550561799
256	rare	56	0.9500000000000001	0.6	28052.5	36099.5	28557.339285714286	240.08928571428572	0.09519113095238096
512	all	256	0.9957031249999999	0.8	60580.0	71842.0	61475.515625	13669.29296875	0.20491838541666665
512	broad	111	0.9990990990990991	0.9	60410.0	68102.0	61215.01801801802	26610.252252252252	0.20405006006006007
512	medium	89	1.0	1.0	60977.0	72554.79999999999	62187.629213483146	5805.483146067416	0.20729209737827722
512	rare	56	0.9821428571428571	0.8	60020.0	70233.0	60860.107142857145	516.3035714285714	0.20286702380952376
768	all	256	0.998828125	0.9	98106.0	108726.0	98456.3359375	21987.8828125	0.32818778645833335
768	broad	111	1.0	1.0	98074.0	106353.5	98225.2972972973	43005.32432432433	0.3274176576576576
768	medium	89	1.0	1.0	98498.0	111080.4	99153.12359550562	9106.651685393259	0.33051041198501874
768	rare	56	0.9946428571428572	0.9	96864.5	108210.75	97806.89285714286	800.2678571428571	0.32602297619047615
1024	all	256	0.999609375	0.9	138025.0	147670.5	138091.0078125	30953.8984375	0.4603033593749999
1024	broad	111	1.0	1.0	137676.0	146114.5	137651.97297297296	60762.81981981982	0.4588399099099099
1024	medium	89	1.0	1.0	138506.0	148920.59999999998	138965.1235955056	12570.303370786516	0.46321707865168543
1024	rare	56	0.9982142857142857	0.9	137615.5	147670.5	137572.01785714287	1085.142857142857	0.45857339285714277
1536	all	256	1.0	1.0	220651.5	226997.0	220646.33203125	49919.67578125	0.7354877734375
1536	broad	111	1.0	1.0	220804.0	226532.0	220758.65765765766	99181.75675675676	0.7358621921921922
1536	medium	89	1.0	1.0	221240.0	227418.80000000002	221032.0224719101	18927.876404494382	0.7367734082397004
1536	rare	56	1.0	1.0	218708.5	227581.75	219810.7142857143	1530.017857142857	0.7327023809523808
2048	all	256	1.0	1.0	300000.0	300000.0	300000.0	68104.90625	1.0
2048	broad	111	1.0	1.0	300000.0	300000.0	300000.0	137754.7027027027	1.0
2048	medium	89	1.0	1.0	300000.0	300000.0	300000.0	22990.20224719101	1.0
2048	rare	56	1.0	1.0	300000.0	300000.0	300000.0	1749.2142857142858	1.0
