query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank	nprobe	truth_list_recall	candidates_visited	matching_candidates	database_fraction
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	1	0.2	97	2	0.00032333333333333335
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	2	0.2	329	2	0.0010966666666666666
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	4	0.4	617	6	0.0020566666666666667
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	8	0.4	858	8	0.00286
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	16	0.6	1886	16	0.006286666666666667
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	32	0.6	4311	33	0.01437
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	64	0.7	9464	84	0.03154666666666667
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	128	0.9	19452	207	0.06484
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	256	0.9	35206	399	0.11735333333333334
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	512	0.9	69610	757	0.23203333333333334
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	768	1.0	106642	1116	0.3554733333333333
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	1024	1.0	145908	1411	0.48636
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	1536	1.0	218452	1848	0.7281733333333333
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742	2048	1.0	300000	2014	1.0
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	1	0.0	79	0	0.00026333333333333336
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	2	0.1	182	1	0.0006066666666666667
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	4	0.2	345	2	0.00115
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	8	0.2	671	4	0.0022366666666666668
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	16	0.5	1625	22	0.005416666666666667
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	32	0.7	3378	33	0.01126
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	64	0.8	7312	82	0.024373333333333334
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	128	0.9	14393	159	0.04797666666666667
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	256	1.0	29844	348	0.09948
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	512	1.0	60695	600	0.20231666666666667
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	768	1.0	98567	891	0.32855666666666666
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	1024	1.0	137139	1171	0.45713
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	1536	1.0	218405	1730	0.7280166666666666
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130	2048	1.0	300000	2014	1.0
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	1	0.0	106	0	0.0003533333333333333
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	2	0.1	318	1	0.00106
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	4	0.1	538	1	0.0017933333333333334
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	8	0.3	847	4	0.0028233333333333335
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	16	0.4	1693	5	0.0056433333333333335
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	32	0.6	3263	11	0.010876666666666666
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	64	0.9	6394	26	0.021313333333333333
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	128	1.0	12997	54	0.04332333333333333
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	256	1.0	26964	230	0.08988
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	512	1.0	60597	577	0.20199
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	768	1.0	96816	1013	0.32272
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	1024	1.0	137376	1352	0.45792
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	1536	1.0	221640	1829	0.7388
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87	2048	1.0	300000	2014	1.0
4	0.0918	medium	0.043037593	4	2	29	192	192	192	1	0.3	52	12	0.00017333333333333334
