query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.006713333333333333	rare	0.011591673	9	10	124	742	742	742
2	0.006713333333333333	rare	0.019355357	10	15	89	130	130	130
3	0.006713333333333333	rare	0.014760852	9	25	53	87	87	87
4	0.0918	medium	0.043037593	4	2	29	192	192	192
5	0.2908733333333333	broad	0.0014544725	6	4	29	49	49	49
6	0.5782933333333333	broad	0.039467454	6	1	6	7	7	7
7	0.006713333333333333	rare	0.025146008	10	19	79	188	188	188
8	0.2908733333333333	broad	0.005237162	6	3	8	9	9	9
9	0.006713333333333333	rare	0.0011988878	6	7	23	41	41	41
10	0.5782933333333333	broad	0.010230482	3	1	2	117	117	117
11	0.2908733333333333	broad	0.02217114	7	6	15	16	16	16
12	0.0918	medium	0.0040670633	6	18	60	84	84	84
13	0.030446666666666667	medium	0.016880393	5	3	15	15	15	15
14	0.0918	medium	0.033495724	6	19	42	42	42	42
15	0.006713333333333333	rare	0.026910782	6	6	110	236	236	236
16	0.5782933333333333	broad	0.018894553	7	8	55	69	69	69
17	0.2908733333333333	broad	0.0072110295	4	3	4	4	4	4
18	0.5782933333333333	broad	0.022675514	8	4	12	19	19	19
19	0.0918	medium	0.014083147	7	8	10	11	11	11
20	0.0918	medium	0.07060957	4	1	26	28	28	28
21	0.2908733333333333	broad	0.012505293	8	4	96	126	126	126
22	0.006713333333333333	rare	0.016116977	8	37	120	136	136	136
23	0.2908733333333333	broad	0.00073975325	7	3	9	42	42	42
24	0.0918	medium	0.0148139	7	8	98	153	153	153
25	0.006713333333333333	rare	0.018409967	7	20	73	151	151	151
26	0.5782933333333333	broad	0.034052253	7	3	25	26	26	26
27	0.0918	medium	0.037785172	9	11	143	298	298	298
28	0.2908733333333333	broad	0.0020065904	9	8	20	152	152	152
29	0.2908733333333333	broad	0.0043348074	6	6	26	26	26	26
30	0.006713333333333333	rare	0.047669888	6	9	21	24	24	24
31	0.006713333333333333	rare	0.032522976	9	12	37	61	61	61
32	0.030446666666666667	medium	0.00017887354	5	18	45	78	78	78
33	0.0918	medium	0.021599948	4	1	4	141	141	141
34	0.5782933333333333	broad	0.058756292	7	4	13	282	282	282
35	0.030446666666666667	medium	0.051463842	9	25	131	172	172	172
36	0.2908733333333333	broad	0.023465633	7	5	12	19	19	19
37	0.2908733333333333	broad	0.0756557	4	1	3	5	5	5
38	0.2908733333333333	broad	0.0400728	5	1	13	15	15	15
39	0.006713333333333333	rare	0.051141262	10	92	231	258	258	258
40	0.006713333333333333	rare	0.005115092	10	62	161	165	165	165
41	0.0918	medium	0.00029367208	6	3	23	30	30	30
42	0.5782933333333333	broad	0.013819814	8	10	28	29	29	29
43	0.2908733333333333	broad	0.021035194	5	2	7	33	33	33
44	0.006713333333333333	rare	0.036490202	9	18	68	89	89	89
45	0.0918	medium	0.009877741	6	1	10	12	12	12
46	0.0015	rare	0.002438724	10	143	589	686	686	686
47	0.006713333333333333	rare	0.011117935	7	17	177	241	241	241
48	0.006713333333333333	rare	9.274483e-5	6	2	80	856	856	856
49	0.2908733333333333	broad	0.004175365	5	3	17	34	34	34
50	0.5782933333333333	broad	0.0041875243	5	2	13	14	14	14
51	0.030446666666666667	medium	0.00058841705	5	2	32	40	40	40
