engine	method	recall_at_10	p50_ms	p95_ms	qps	comparable_recall	build_seconds	peak_rss_megabytes
sen	exact	1.0	24.258625	48.692958		True	168.794287083	
sen	ivf_prefilter	0.9734375000000001	7.261833	15.516625		True	168.794287083	
sen	hybrid	0.9828125	7.261833	15.516625	144.06307778450525	True	168.794287083	
sen	hybrid_broad	0.990506329113924	10.008625	16.595833	94.67118377930116	True	168.794287083	
sen	hybrid_medium	0.9662790697674419	1.211292	2.008292	809.2596467419784	True	168.794287083	
sen	hybrid_rare	1.0	0.154416	0.261167	6685.389471291542	True	168.794287083	
faiss	exact_prefilter	1.0	42.112791	87.975459	25.105655213922965	True	7.716917582787573	5022.515625
faiss	ivf_prefilter	0.9972656249999999	14.548167	25.46225	82.76091848234577	True	7.716917582787573	5022.515625
qdrant	filtered_hnsw	0.780859375	21.191125	55.207041	43.5805447015761	False	512.1521675419062	
qdrant	acorn_filtered_hnsw	0.958984375	11.974709	16.215875	84.84303723319886	True	512.1521675419062	
qdrant	exact_prefilter	1.0	20.938667	60.062	40.35951083295623	True	512.1521675419062	
