experiment	split	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	selected_method	query_index	repetition	nprobe	recall	latency_ms	candidates_visited	candidates_scored	lists_probed	result_count	postfilter_candidate_multiplier	bucket
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.01163	42	hybrid	ivf_prefilter	1	1	128	1.0	0.571709	343	343	128	10	0.0	medium
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.01163	42	hybrid	ivf_prefilter	1	2	128	1.0	0.542542	343	343	128	10	0.0	medium
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.01163	42	hybrid	ivf_prefilter	1	3	128	1.0	0.522083	343	343	128	10	0.0	medium
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	2	1	128	1.0	8.322958	7838	7838	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	2	2	128	1.0	8.485584	7838	7838	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	2	3	128	1.0	8.546708	7838	7838	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	3	1	128	1.0	11.270792	10515	10515	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	3	2	128	1.0	11.456625	10515	10515	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	3	3	128	1.0	11.31025	10515	10515	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.03786	42	hybrid	ivf_prefilter	4	1	128	1.0	1.29425	1035	1035	128	10	0.0	medium
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.03786	42	hybrid	ivf_prefilter	4	2	128	1.0	1.294209	1035	1035	128	10	0.0	medium
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.03786	42	hybrid	ivf_prefilter	4	3	128	1.0	1.233291	1035	1035	128	10	0.0	medium
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	5	1	128	1.0	8.741666	7998	7998	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	5	2	128	1.0	8.627542	7998	7998	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	5	3	128	1.0	8.468125	7998	7998	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	6	1	128	1.0	8.348167	7811	7811	128	10	0.0	broad
ivf-hybrid-validation	confirmation	100000	4096	real	natural	0.52817	42	hybrid	ivf_prefilter	6	2	128	1.0	8.332875	7811	7811	128	10	0.0	broad
