query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.29941	broad	0.009750247	6	2	9	11	11	11
2	0.01163	medium	0.15520829	5	1	13	91	91	91
3	0.52817	broad	0.015736222	4	1	25	27	27	27
4	0.52817	broad	0.009483337	4	1	4	11	11	11
5	0.03786	medium	0.021246552	10	15	48	67	67	67
6	0.03786	medium	0.017663836	7	3	63	78	78	78
7	0.03786	medium	0.003568709	7	5	7	41	41	41
8	0.29941	broad	0.027886152	4	1	6	11	11	11
9	0.1204	broad	0.02427119	4	1	7	8	8	8
10	0.03786	medium	0.029740274	3	1	2	143	143	143
11	0.1204	broad	0.024336994	4	3	5	7	7	7
12	0.03786	medium	0.008669376	7	5	52	56	56	56
13	0.52817	broad	0.024761856	4	1	3	7	7	7
14	0.01163	medium	0.07035792	9	17	42	53	53	53
15	0.52817	broad	0.0013511181	7	2	33	56	56	56
16	0.29941	broad	0.029011726	9	7	36	95	95	95
17	0.1204	broad	0.008846521	5	2	8	13	13	13
18	0.03786	medium	0.015358865	8	5	8	72	72	72
19	0.03786	medium	0.10286623	1	1	1	1	1	1
20	0.1204	broad	0.07472497	1	1	1	1	1	1
21	0.01163	medium	0.0021124482	3	1	2	11	11	11
22	0.00216	rare	0.032117903	7	7	55	79	79	79
23	0.52817	broad	0.005728841	4	1	12	39	39	39
24	0.00031	rare	0.006783247	7	63	99	115	115	115
25	0.03786	medium	0.011932373	9	4	16	18	18	18
26	0.52817	broad	0.04073906	5	2	9	16	16	16
27	0.01163	medium	0.022045016	7	2	89	112	112	112
28	0.03786	medium	0.00064212084	6	12	17	31	31	31
29	0.1204	broad	0.036159158	1	1	1	1	1	1
30	0.01163	medium	0.0045256615	7	3	7	9	9	9
31	0.52817	broad	0.004036069	3	2	2	5	5	5
32	0.01163	medium	0.01671958	3	1	7	7	7	7
33	0.03786	medium	0.05484754	5	1	13	82	82	82
34	0.01163	medium	0.007959902	9	10	112	115	115	115
35	0.52817	broad	0.013555348	6	2	8	10	10	10
36	0.00216	rare	0.015551448	10	11	41	51	51	51
37	0.1204	broad	0.0001232028	4	2	17	41	41	41
38	0.1204	broad	0.13020205	1	1	1	1	1	1
39	0.52817	broad	0.040106952	6	1	11	94	94	94
40	0.1204	broad	0.008260846	7	2	21	95	95	95
41	0.52817	broad	0.026982069	7	3	20	49	49	49
42	0.1204	broad	0.05062121	9	12	53	64	64	64
43	0.52817	broad	0.09335369	1	1	1	1	1	1
44	0.1204	broad	0.09336954	4	2	3	28	28	28
45	0.1204	broad	0.008074641	5	3	40	43	43	43
46	0.1204	broad	0.007439673	7	6	12	37	37	37
47	0.1204	broad	0.00014710426	5	5	15	27	27	27
48	0.01163	medium	0.025555253	7	7	41	104	104	104
49	0.52817	broad	0.031969428	4	2	4	5	5	5
50	0.29941	broad	0.01840967	3	2	3	3	3	3
51	0.52817	broad	0.008149385	4	3	4	23	23	23
52	0.03786	medium	0.015197754	6	6	21	22	22	22
53	0.03786	medium	0.051994145	9	7	38	54	54	54
54	0.03786	medium	0.029698431	5	5	11	19	19	19
55	0.52817	broad	0.0006529689	6	2	7	9	9	9
56	0.29941	broad	0.059085608	1	1	1	1	1	1
57	0.1204	broad	0.017940223	5	3	13	17	17	17
58	0.01163	medium	0.121682346	3	1	3	3	3	3
59	0.01163	medium	0.013718009	8	18	63	81	81	81
60	0.01163	medium	0.026700199	8	9	100	153	153	153
61	0.29941	broad	0.029141188	3	1	8	8	8	8
62	0.29941	broad	0.0860703	6	2	8	16	16	16
63	0.1204	broad	0.030345023	7	4	14	16	16	16
64	0.29941	broad	0.10162002	3	1	3	9	9	9
65	0.1204	broad	0.0015884638	5	2	6	9	9	9
66	0.00216	rare	0.03461367	8	15	69	86	86	86
67	0.01163	medium	0.047261775	7	2	14	28	28	28
68	0.52817	broad	0.05664718	1	1	1	1	1	1
69	0.29941	broad	0.032244742	6	3	6	11	11	11
70	0.52817	broad	0.005182028	7	2	37	59	59	59
71	0.00216	rare	0.022159278	7	4	32	54	54	54
72	0.1204	broad	0.07153249	8	7	13	14	14	14
73	0.1204	broad	0.0067911744	6	2	10	27	27	27
74	0.03786	medium	0.023050785	5	1	23	23	23	23
75	0.52817	broad	0.015227318	7	4	12	43	43	43
76	0.03786	medium	0.026240528	6	5	18	101	101	101
77	0.00216	rare	0.020777404	10	22	74	82	82	82
78	0.01163	medium	0.0007686615	5	4	78	78	78	78
79	0.01163	medium	0.012686491	10	39	68	88	88	88
80	0.1204	broad	0.04592991	8	5	34	43	43	43
81	0.01163	medium	0.028799772	8	3	19	119	119	119
82	0.29941	broad	0.014406741	7	2	13	25	25	25
83	0.01163	medium	0.06715953	6	1	19	73	73	73
84	0.01163	medium	0.015683353	7	8	28	64	64	64
85	0.52817	broad	0.020959854	4	1	5	14	14	14
86	0.52817	broad	0.0134730935	5	2	6	7	7	7
87	0.52817	broad	0.007680893	7	4	8	12	12	12
88	0.01163	medium	0.0060195923	5	2	6	34	34	34
89	0.01163	medium	0.06046933	8	5	17	20	20	20
90	0.01163	medium	0.008615792	6	12	38	38	38	38
91	0.52817	broad	0.08862704	4	1	16	25	25	25
92	0.29941	broad	0.027405381	4	2	5	26	26	26
93	0.01163	medium	0.0022858381	5	3	15	26	26	26
94	0.00216	rare	0.023471355	9	31	52	65	65	65
95	0.01163	medium	0.03392762	9	14	81	98	98	98
96	0.00031	rare	0.002856791	8	23	74	112	112	112
97	0.03786	medium	0.011538625	9	11	95	133	133	133
98	0.03786	medium	0.019400716	6	2	41	43	43	43
99	0.29941	broad	0.10601479	1	1	1	1	1	1
100	0.29941	broad	0.0073685646	4	1	4	46	46	46
101	0.1204	broad	0.023082197	6	1	10	15	15	15
102	0.1204	broad	0.0007355809	8	3	30	50	50	50
103	0.52817	broad	0.033960998	6	3	49	61	61	61
104	0.29941	broad	0.048662663	4	1	30	68	68	68
105	0.1204	broad	0.07512963	7	3	10	38	38	38
106	0.52817	broad	0.15758991	1	1	1	1	1	1
107	0.00216	rare	0.01186496	7	6	68	128	128	128
108	0.03786	medium	0.023286343	5	1	21	21	21	21
109	0.1204	broad	0.058014333	5	2	11	52	52	52
110	0.00031	rare	0.029691994	8	64	104	138	138	138
111	0.1204	broad	0.068413675	4	2	3	32	32	32
112	0.00216	rare	0.013142824	10	27	85	95	95	95
113	0.01163	medium	0.009865761	4	6	8	8	8	8
114	0.03786	medium	0.038502634	7	10	29	62	62	62
115	0.00216	rare	0.0051279664	9	10	56	67	67	67
116	0.29941	broad	0.058696747	2	1	1	7	7	7
117	0.52817	broad	0.08272439	1	1	1	1	1	1
118	0.52817	broad	0.058603168	5	6	15	16	16	16
119	1.0e-5	rare	0.055547953	1	110	110	110	110	110
120	0.29941	broad	0.030314922	6	3	8	12	12	12
121	0.03786	medium	0.007704735	6	2	12	15	15	15
122	0.29941	broad	0.012421012	4	2	4	4	4	4
123	0.52817	broad	0.0850482	6	1	9	19	19	19
124	0.52817	broad	0.045746863	5	3	8	10	10	10
125	0.03786	medium	0.0699811	4	1	20	148	148	148
126	0.52817	broad	0.041094363	6	2	61	62	62	62
127	0.00216	rare	0.0062528253	7	4	27	32	32	32
128	0.03786	medium	0.03552091	5	1	19	19	19	19
129	0.1204	broad	0.043664634	9	9	54	60	60	60
130	0.29941	broad	0.0012483597	7	2	10	57	57	57
131	0.29941	broad	0.08812243	4	1	4	8	8	8
132	0.03786	medium	0.05009079	8	9	24	32	32	32
133	0.03786	medium	0.0065432787	7	11	27	53	53	53
