query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank	nprobe	truth_list_recall	candidates_visited	matching_candidates	database_fraction
1	0.29941	broad	0.00092995167	5	2	8	9	9	9	1	0.1	155	50	0.00155
1	0.29941	broad	0.00092995167	5	2	8	9	9	9	2	0.5	631	234	0.00631
1	0.29941	broad	0.00092995167	5	2	8	9	9	9	4	0.7	1262	431	0.01262
1	0.29941	broad	0.00092995167	5	2	8	9	9	9	8	0.9	2669	914	0.02669
1	0.29941	broad	0.00092995167	5	2	8	9	9	9	16	1.0	5129	1658	0.05129
1	0.29941	broad	0.00092995167	5	2	8	9	9	9	32	1.0	10289	3481	0.10289
1	0.29941	broad	0.00092995167	5	2	8	9	9	9	64	1.0	20130	7089	0.2013
1	0.29941	broad	0.00092995167	5	2	8	9	9	9	128	1.0	40705	13600	0.40705
1	0.29941	broad	0.00092995167	5	2	8	9	9	9	256	1.0	100000	29941	1.0
2	0.01163	medium	0.14517623	5	1	15	88	88	88	1	0.5	313	5	0.00313
2	0.01163	medium	0.14517623	5	1	15	88	88	88	2	0.7	762	17	0.00762
2	0.01163	medium	0.14517623	5	1	15	88	88	88	4	0.7	1106	20	0.01106
2	0.01163	medium	0.14517623	5	1	15	88	88	88	8	0.7	2494	30	0.02494
2	0.01163	medium	0.14517623	5	1	15	88	88	88	16	0.9	5051	93	0.05051
2	0.01163	medium	0.14517623	5	1	15	88	88	88	32	0.9	10832	183	0.10832
2	0.01163	medium	0.14517623	5	1	15	88	88	88	64	0.9	19845	357	0.19845
2	0.01163	medium	0.14517623	5	1	15	88	88	88	128	1.0	40207	642	0.40207
2	0.01163	medium	0.14517623	5	1	15	88	88	88	256	1.0	100000	1163	1.0
3	0.52817	broad	0.024639487	5	2	11	32	32	32	1	0.4	508	267	0.00508
3	0.52817	broad	0.024639487	5	2	11	32	32	32	2	0.7	1000	543	0.01
3	0.52817	broad	0.024639487	5	2	11	32	32	32	4	0.8	1435	728	0.01435
3	0.52817	broad	0.024639487	5	2	11	32	32	32	8	0.8	2346	1264	0.02346
3	0.52817	broad	0.024639487	5	2	11	32	32	32	16	0.9	4449	2344	0.04449
3	0.52817	broad	0.024639487	5	2	11	32	32	32	32	1.0	9317	4409	0.09317
3	0.52817	broad	0.024639487	5	2	11	32	32	32	64	1.0	17986	7967	0.17986
3	0.52817	broad	0.024639487	5	2	11	32	32	32	128	1.0	40346	18011	0.40346
3	0.52817	broad	0.024639487	5	2	11	32	32	32	256	1.0	100000	52817	1.0
4	0.52817	broad	0.039170325	4	4	5	20	20	20	1	0.4	472	253	0.00472
4	0.52817	broad	0.039170325	4	4	5	20	20	20	2	0.4	707	374	0.00707
4	0.52817	broad	0.039170325	4	4	5	20	20	20	4	0.7	1421	767	0.01421
4	0.52817	broad	0.039170325	4	4	5	20	20	20	8	0.9	2503	1333	0.02503
4	0.52817	broad	0.039170325	4	4	5	20	20	20	16	0.9	5653	2996	0.05653
4	0.52817	broad	0.039170325	4	4	5	20	20	20	32	1.0	10658	5514	0.10658
4	0.52817	broad	0.039170325	4	4	5	20	20	20	64	1.0	20307	9897	0.20307
4	0.52817	broad	0.039170325	4	4	5	20	20	20	128	1.0	44917	21553	0.44917
4	0.52817	broad	0.039170325	4	4	5	20	20	20	256	1.0	100000	52817	1.0
5	0.03786	medium	0.010739088	7	11	27	58	58	58	1	0.1	492	16	0.00492
5	0.03786	medium	0.010739088	7	11	27	58	58	58	2	0.3	1000	30	0.01
5	0.03786	medium	0.010739088	7	11	27	58	58	58	4	0.3	1459	46	0.01459
