nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	256	0.30429687499999997	0.0	155.0	348.0	168.95703125	28.63671875	0.0016895703124999997
1	broad	136	0.41102941176470587	0.0	149.0	317.25	167.50735294117646	50.5735294117647	0.0016750735294117647
1	medium	90	0.23111111111111113	0.0	163.0	348.0	171.94444444444446	4.888888888888889	0.0017194444444444444
1	rare	30	0.04000000000000001	0.0	152.0	358.0	166.56666666666666	0.43333333333333335	0.001665666666666667
2	all	256	0.417578125	0.0	301.0	539.0	320.1796875	55.5859375	0.003201796875
2	broad	136	0.5536764705882353	0.0	296.5	530.0	315.4485294117647	98.38235294117646	0.0031544852941176476
2	medium	90	0.3277777777777778	0.0	311.5	539.0	324.8666666666667	9.177777777777777	0.003248666666666666
2	rare	30	0.07	0.0	285.5	539.0	327.56666666666666	0.8	0.003275666666666666
4	all	256	0.53046875	0.0	579.0	898.75	603.09765625	105.7734375	0.006030976562500001
4	broad	136	0.6838235294117649	0.1	587.5	840.25	594.2573529411765	187.875	0.005942573529411764
4	medium	90	0.43222222222222223	0.0	581.5	979.0	615.5666666666667	16.41111111111111	0.006155666666666665
4	rare	30	0.13	0.0	528.0	946.3	605.7666666666667	1.6666666666666667	0.006057666666666666
8	all	256	0.6359374999999999	0.0	1146.0	1648.5	1174.12109375	206.109375	0.0117412109375
8	broad	136	0.786029411764706	0.3	1168.5	1533.25	1165.9779411764705	366.43382352941177	0.011659779411764704
8	medium	90	0.548888888888889	0.1	1146.0	1663.1999999999998	1192.3111111111111	31.533333333333335	0.011923111111111112
8	rare	30	0.21666666666666665	0.0	1052.5	1645.6	1156.4666666666667	3.033333333333333	0.01156466666666667
16	all	256	0.74375	0.0	2285.5	3108.0	2362.10546875	418.328125	0.023621054687499997
16	broad	136	0.874264705882353	0.5	2322.0	2901.5	2358.220588235294	744.3529411764706	0.02358220588235294
16	medium	90	0.6877777777777777	0.2	2266.0	3301.1499999999996	2384.311111111111	63.388888888888886	0.02384311111111111
16	rare	30	0.32	0.0	2224.0	3079.0999999999995	2313.1	5.166666666666667	0.023131000000000002
32	all	256	0.8371093750000002	0.0	4674.5	5873.25	4725.24609375	840.59765625	0.04725246093750001
32	broad	136	0.9375000000000001	0.6	4678.0	5737.0	4726.875	1491.3676470588234	0.04726875
32	medium	90	0.81	0.4	4605.0	6016.15	4738.4111111111115	134.1888888888889	0.04738411111111111
32	rare	30	0.4633333333333333	0.0	4727.0	5899.599999999999	4678.366666666667	9.666666666666666	0.046783666666666654
64	all	256	0.9078125000000001	0.0	9362.5	10966.25	9428.93359375	1677.87890625	0.0942893359375
64	broad	136	0.9705882352941179	0.7	9417.0	10768.5	9420.20588235294	2970.294117647059	0.09420205882352939
64	medium	90	0.9144444444444446	0.6	9301.5	11195.0	9446.3	277.77777777777777	0.094463
64	rare	30	0.6033333333333333	0.0	9222.0	10860.05	9416.4	19.233333333333334	0.09416400000000001
128	all	256	0.9652343749999999	0.0	19033.5	21421.25	19192.3828125	3417.18359375	0.191923828125
128	broad	136	0.9904411764705884	0.8	19053.0	20962.25	19162.867647058825	6027.205882352941	0.19162867647058826
128	medium	90	0.9766666666666667	0.8	19092.0	21457.3	19245.31111111111	597.4666666666667	0.19245311111111113
128	rare	30	0.8166666666666665	0.0	18821.5	21848.35	19167.4	44.233333333333334	0.19167399999999998
256	all	256	0.994140625	0.0	39937.0	44805.0	40578.46875	7208.140625	0.4057846875
256	broad	136	1.0	1.0	39956.5	44805.0	40542.367647058825	12732.25	0.40542367647058825
256	medium	90	1.0	1.0	39721.5	44623.25	40654.2	1230.9333333333334	0.406542
256	rare	30	0.95	0.0	39827.5	45189.99999999999	40514.933333333334	97.13333333333334	0.40514933333333336
512	all	256	1.0	1.0	100000.0	100000.0	100000.0	17760.828125	1.0
512	broad	136	1.0	1.0	100000.0	100000.0	100000.0	31755.345588235294	1.0
512	medium	90	1.0	1.0	100000.0	100000.0	100000.0	2474.5	1.0
512	rare	30	1.0	1.0	100000.0	100000.0	100000.0	178.0	1.0
