nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	48	0.2833333333333333	0.0	184.0	204.0	172.10416666666666	30.333333333333332	0.005736805555555555
1	broad	16	0.5125	0.1	184.0	204.0	176.25	79.25	0.005875000000000001
1	medium	16	0.2625	0.0	179.5	221.75	168.125	10.8125	0.005604166666666668
1	rare	16	0.07500000000000001	0.0	184.0	189.0	171.9375	0.9375	0.005731250000000001
2	all	48	0.3979166666666667	0.0	331.0	429.8	342.875	61.541666666666664	0.011429166666666669
2	broad	16	0.6812499999999999	0.5	336.0	419.0	342.6875	160.3125	0.011422916666666665
2	medium	16	0.38125	0.0	355.5	434.0	343.1875	22.4375	0.011439583333333335
2	rare	16	0.13125	0.0	330.0	394.5	342.75	1.875	0.011425000000000001
4	all	48	0.5479166666666667	0.0	658.0	929.3999999999999	661.5833333333334	118.97916666666667	0.02205277777777778
4	broad	16	0.8000000000000002	0.5	633.0	773.0	647.9375	304.625	0.021597916666666668
4	medium	16	0.6187499999999999	0.2	648.5	977.0	672.3125	48.75	0.02241041666666667
4	rare	16	0.22500000000000003	0.0	666.0	810.25	664.5	3.5625	0.02215
8	all	48	0.6687500000000001	0.1	1258.5	1664.1499999999999	1281.375	235.0	0.04271250000000001
8	broad	16	0.9000000000000001	0.7	1242.0	1511.0	1272.8125	605.25	0.04242708333333333
8	medium	16	0.7812500000000001	0.5	1197.5	1766.75	1294.0625	93.4375	0.04313541666666666
8	rare	16	0.32500000000000007	0.1	1280.5	1426.25	1277.25	6.3125	0.042575
16	all	48	0.7812499999999997	0.3	2552.0	3089.7499999999995	2579.2708333333335	454.8333333333333	0.08597569444444446
16	broad	16	0.9687500000000001	0.8	2565.5	3072.5	2593.25	1158.0625	0.08644166666666667
16	medium	16	0.85	0.6	2533.5	3248.25	2621.0625	192.9375	0.08736875000000002
16	rare	16	0.5250000000000001	0.3	2554.5	2710.5	2523.5	13.5	0.08411666666666666
32	all	48	0.8791666666666668	0.4	5412.5	6049.5	5458.479166666667	992.2916666666666	0.18194930555555552
32	broad	16	1.0	1.0	5449.0	6049.75	5525.625	2544.4375	0.18418750000000003
32	medium	16	0.9125000000000001	0.6	5437.0	6243.25	5515.6875	402.3125	0.18385625
32	rare	16	0.7249999999999999	0.4	5333.5	5635.5	5334.125	30.125	0.17780416666666665
48	all	48	0.94375	0.7	8821.0	9609.4	8889.854166666666	1593.8125	0.2963284722222222
48	broad	16	1.0	1.0	8803.0	9779.25	8934.0	4092.0625	0.29779999999999995
48	medium	16	0.96875	0.8	8982.5	9873.75	9035.5	634.25	0.30118333333333336
48	rare	16	0.8625	0.7	8635.0	9200.75	8700.0625	55.125	0.29000208333333327
64	all	48	0.9729166666666665	0.8	12597.0	13558.95	12660.041666666666	2245.125	0.422001388888889
64	broad	16	1.0	1.0	12510.5	13508.75	12646.3125	5786.25	0.42154374999999994
64	medium	16	0.9812500000000001	0.9	12649.0	13848.75	12778.1875	866.6875	0.42593958333333326
64	rare	16	0.9375000000000001	0.8	12489.0	13268.0	12555.625	82.4375	0.41852083333333334
96	all	48	0.9916666666666666	0.9	20981.0	22155.949999999997	21144.229166666668	3746.2291666666665	0.7048076388888888
96	broad	16	1.0	1.0	20994.0	21914.0	21090.9375	9690.25	0.70303125
96	medium	16	0.99375	0.9	21380.5	22203.75	21333.0	1421.5625	0.7111000000000001
96	rare	16	0.9812500000000001	0.9	20883.0	21703.5	21008.75	126.875	0.7002916666666668
128	all	48	1.0	1.0	30000.0	30000.0	30000.0	5377.4375	1.0
128	broad	16	1.0	1.0	30000.0	30000.0	30000.0	14199.4375	1.0
128	medium	16	1.0	1.0	30000.0	30000.0	30000.0	1785.75	1.0
128	rare	16	1.0	1.0	30000.0	30000.0	30000.0	147.125	1.0
