query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank	nprobe	truth_list_recall	candidates_visited	matching_candidates	database_fraction
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	1	0.6	184	114	0.0061333333333333335
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	2	0.7	323	193	0.010766666666666667
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	4	0.7	674	330	0.022466666666666666
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	8	0.7	1205	655	0.04016666666666667
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	16	1.0	2381	1331	0.07936666666666667
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	32	1.0	5220	2859	0.174
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	48	1.0	8308	4330	0.2769333333333333
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	64	1.0	12223	6680	0.4074333333333333
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	96	1.0	20499	12867	0.6833
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16	128	1.0	30000	19274	1.0
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	1	0.5	184	56	0.0061333333333333335
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	2	0.5	336	99	0.0112
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	4	0.8	679	224	0.02263333333333333
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	8	1.0	1333	490	0.04443333333333333
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	16	1.0	2668	853	0.08893333333333334
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	32	1.0	5622	1978	0.1874
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	48	1.0	9310	2698	0.31033333333333335
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	64	1.0	13192	3432	0.4397333333333333
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	96	1.0	21353	5060	0.7117666666666667
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8	128	1.0	30000	7675	1.0
3	0.6424666666666666	broad	0.05119115	3	1	6	12	12	12	1	0.7	147	51	0.0049
3	0.6424666666666666	broad	0.05119115	3	1	6	12	12	12	2	0.7	331	165	0.011033333333333332
3	0.6424666666666666	broad	0.05119115	3	1	6	12	12	12	4	0.7	616	338	0.020533333333333334
3	0.6424666666666666	broad	0.05119115	3	1	6	12	12	12	8	0.9	1227	739	0.0409
3	0.6424666666666666	broad	0.05119115	3	1	6	12	12	12	16	1.0	2643	1312	0.0881
3	0.6424666666666666	broad	0.05119115	3	1	6	12	12	12	32	1.0	5582	2720	0.18606666666666666
3	0.6424666666666666	broad	0.05119115	3	1	6	12	12	12	48	1.0	8776	4552	0.2925333333333333
