query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.6424666666666666	broad	0.08966845	3	1	16	16	16	16
2	0.25583333333333336	broad	0.0730989	5	1	7	8	8	8
3	0.6424666666666666	broad	0.05119115	3	1	6	12	12	12
4	0.0051333333333333335	rare	0.003666103	10	13	47	65	65	65
5	0.0014666666666666667	rare	0.01776433	4	2	45	46	46	46
6	0.0227	medium	0.022402883	8	4	52	126	126	126
7	0.0051333333333333335	rare	0.010349333	9	13	30	86	86	86
8	0.6424666666666666	broad	0.12465519	1	1	1	1	1	1
9	0.0718	medium	0.007099211	4	1	4	4	4	4
10	0.0718	medium	0.04455191	6	1	7	26	26	26
11	0.25583333333333336	broad	0.014205217	5	2	6	9	9	9
12	0.0718	medium	0.0040243864	3	1	4	4	4	4
13	0.0718	medium	0.01284951	5	3	4	10	10	10
14	0.6424666666666666	broad	0.0024185777	5	2	5	20	20	20
15	0.6424666666666666	broad	0.040138364	4	2	4	4	4	4
16	0.0227	medium	0.03964305	8	3	40	41	41	41
17	0.0718	medium	0.026837945	6	4	24	33	33	33
18	0.0227	medium	0.018667936	9	6	37	81	81	81
19	0.25583333333333336	broad	0.0251109	4	2	4	16	16	16
20	0.0718	medium	0.029157937	5	1	33	80	80	80
21	0.0718	medium	0.026353776	7	4	7	13	13	13
22	0.6424666666666666	broad	0.009197831	3	1	3	26	26	26
23	0.6424666666666666	broad	0.054644883	3	1	2	4	4	4
24	0.0051333333333333335	rare	0.0436517	9	8	53	79	79	79
25	0.25583333333333336	broad	0.034157813	6	2	9	21	21	21
26	0.0051333333333333335	rare	0.08127117	10	34	48	73	73	73
27	0.0051333333333333335	rare	0.10367036	9	14	31	60	60	60
28	0.0051333333333333335	rare	0.07980639	8	14	39	128	128	128
29	0.6424666666666666	broad	0.0025969744	6	2	11	16	16	16
30	0.0718	medium	0.08118355	6	2	15	28	28	28
31	0.0718	medium	0.012112498	9	4	18	26	26	26
32	0.0718	medium	0.0099769235	5	2	9	12	12	12
33	0.0051333333333333335	rare	0.080191374	9	10	26	40	40	40
34	0.25583333333333336	broad	0.080035806	5	1	19	25	25	25
35	0.0051333333333333335	rare	0.06560171	9	11	51	77	77	77
36	0.0051333333333333335	rare	0.013039887	9	9	62	107	107	107
37	0.0051333333333333335	rare	0.010914326	9	18	74	116	116	116
38	0.0718	medium	0.016940176	3	5	5	5	5	5
39	0.6424666666666666	broad	0.009344816	3	1	2	6	6	6
40	0.25583333333333336	broad	0.053599834	5	1	6	13	13	13
41	0.0051333333333333335	rare	0.002444923	9	17	52	52	52	52
42	0.0227	medium	0.08845657	9	8	21	62	62	62
43	0.0051333333333333335	rare	0.043577075	10	19	51	68	68	68
44	0.0051333333333333335	rare	0.019221663	9	15	54	57	57	57
45	0.0718	medium	0.09127325	4	1	29	47	47	47
46	0.0051333333333333335	rare	0.06059897	10	26	60	61	61	61
47	0.0051333333333333335	rare	0.026036024	9	18	32	33	33	33
48	0.25583333333333336	broad	0.06425196	5	2	6	11	11	11
