nprobe	bucket	query_count	recall	minimum_recall	p50_candidates	p95_candidates	average_candidates	average_matching_candidates	average_database_fraction
1	all	48	0.23750000000000002	0.0	318.0	469.0999999999998	304.2083333333333	51.145833333333336	0.010140277777777778
1	broad	16	0.50625	0.1	318.0	399.5	301.5	139.6875	0.010049999999999998
1	medium	16	0.16875	0.0	318.0	530.0	320.75	13.1875	0.010691666666666669
1	rare	16	0.037500000000000006	0.0	318.0	356.0	290.375	0.5625	0.009679166666666668
2	all	48	0.4104166666666666	0.0	660.0	970.3499999999996	609.4166666666666	113.0625	0.020313888888888885
2	broad	16	0.6625	0.4	586.0	794.0	595.3125	299.0	0.01984375
2	medium	16	0.4812500000000001	0.1	660.0	1082.0	645.875	38.75	0.021529166666666665
2	rare	16	0.08750000000000001	0.0	605.0	674.0	587.0625	1.4375	0.019568749999999996
4	all	48	0.5854166666666667	0.0	1146.0	1563.0499999999997	1150.4375	215.0	0.03834791666666666
4	broad	16	0.8062500000000001	0.6	1039.0	1445.25	1127.875	562.875	0.03759583333333333
4	medium	16	0.6687500000000001	0.3	1146.0	1625.5	1177.0625	77.3125	0.03923541666666666
4	rare	16	0.28125	0.0	1187.0	1358.25	1146.375	4.8125	0.038212499999999996
8	all	48	0.7291666666666665	0.1	2345.5	2961.6999999999994	2404.2916666666665	423.3333333333333	0.08014305555555554
8	broad	16	0.8812500000000002	0.8	2249.5	2843.75	2396.0625	1077.875	0.07986875
8	medium	16	0.8625000000000003	0.5	2348.0	3122.5	2429.6875	178.5625	0.08098958333333335
8	rare	16	0.44375	0.1	2349.5	2664.0	2387.125	13.5625	0.07957083333333334
16	all	48	0.8520833333333333	0.4	5168.5	6099.049999999999	5223.541666666667	957.0833333333334	0.17411805555555557
16	broad	16	0.96875	0.8	5240.0	5850.0	5300.5625	2462.0625	0.17668541666666668
16	medium	16	0.9125000000000001	0.5	5288.5	6300.0	5353.6875	379.0	0.17845625
16	rare	16	0.6749999999999999	0.4	4986.5	5435.0	5016.375	30.1875	0.1672125
24	all	48	0.9479166666666665	0.7	8208.0	9490.05	8265.9375	1493.7708333333333	0.27553125
24	broad	16	0.99375	0.9	8300.0	9111.25	8350.4375	3836.375	0.27834791666666664
24	medium	16	0.975	0.8	8440.5	9646.5	8525.5625	592.3125	0.28418541666666663
24	rare	16	0.875	0.7	7948.0	8385.75	7921.8125	52.625	0.26406041666666663
32	all	48	0.9750000000000001	0.8	11447.0	13465.75	11740.333333333334	2108.5625	0.3913444444444445
32	broad	16	0.99375	0.9	11499.0	13403.75	11751.3125	5423.9375	0.3917104166666667
32	medium	16	0.9812500000000001	0.9	11695.5	13736.5	12094.0	822.625	0.40313333333333334
32	rare	16	0.9500000000000001	0.8	11176.0	12474.0	11375.6875	79.125	0.3791895833333333
48	all	48	0.99375	0.9	20604.0	21769.7	20473.104166666668	3558.7708333333335	0.6824368055555555
48	broad	16	1.0	1.0	19980.5	21678.75	20042.125	9195.8125	0.6680708333333333
48	medium	16	0.9875	0.9	21121.0	21907.5	20864.3125	1356.5	0.6954770833333334
48	rare	16	0.99375	0.9	20669.0	21348.0	20512.875	124.0	0.6837625
64	all	48	1.0	1.0	30000.0	30000.0	30000.0	5377.4375	1.0
64	broad	16	1.0	1.0	30000.0	30000.0	30000.0	14199.4375	1.0
64	medium	16	1.0	1.0	30000.0	30000.0	30000.0	1785.75	1.0
64	rare	16	1.0	1.0	30000.0	30000.0	30000.0	147.125	1.0
