query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank	nprobe	truth_list_recall	candidates_visited	matching_candidates	database_fraction
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18	1	0.4	318	237	0.0106
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18	2	0.4	489	337	0.0163
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18	4	0.7	1039	572	0.034633333333333335
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18	8	0.8	2377	1374	0.07923333333333334
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18	16	0.8	5135	2624	0.17116666666666666
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18	24	1.0	7651	3984	0.25503333333333333
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18	32	1.0	10890	5868	0.363
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18	48	1.0	18596	11256	0.6198666666666667
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18	64	1.0	30000	19274	1.0
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22	1	0.5	318	67	0.0106
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22	2	0.6	674	210	0.022466666666666666
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22	4	0.9	1039	346	0.034633333333333335
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22	8	0.9	2467	978	0.08223333333333334
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22	16	0.9	5325	1661	0.1775
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22	24	1.0	8208	2402	0.2736
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22	32	1.0	12222	3019	0.4074
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22	48	1.0	20608	4882	0.6869333333333333
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22	64	1.0	30000	7675	1.0
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15	1	0.8	194	79	0.006466666666666667
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15	2	0.8	512	316	0.017066666666666667
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15	4	0.8	1025	585	0.034166666666666665
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15	8	0.8	2240	1039	0.07466666666666667
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15	16	1.0	5082	2774	0.1694
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15	24	1.0	7989	4333	0.2663
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15	32	1.0	11168	6131	0.3722666666666667
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15	48	1.0	19138	11206	0.6379333333333334
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15	64	1.0	30000	19274	1.0
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45	1	0.1	194	2	0.006466666666666667
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45	2	0.1	512	2	0.017066666666666667
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45	4	0.2	1039	4	0.034633333333333335
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45	8	0.4	2664	10	0.0888
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45	16	0.5	5453	26	0.18176666666666666
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45	24	0.7	8103	57	0.2701
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45	32	0.9	10995	85	0.3665
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45	48	1.0	19330	135	0.6443333333333333
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45	64	1.0	30000	154	1.0
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35	1	0.0	318	0	0.0106
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35	2	0.2	660	2	0.022
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35	4	0.6	1187	7	0.03956666666666667
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35	8	0.7	2249	9	0.07496666666666667
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35	16	0.8	4442	16	0.14806666666666668
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35	24	0.9	7897	28	0.2632333333333333
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35	32	0.9	11177	31	0.37256666666666666
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35	48	1.0	19556	41	0.6518666666666667
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35	64	1.0	30000	44	1.0
6	0.0227	medium	0.06930232	8	6	26	57	57	57	1	0.1	318	1	0.0106
6	0.0227	medium	0.06930232	8	6	26	57	57	57	2	0.1	763	4	0.025433333333333332
6	0.0227	medium	0.06930232	8	6	26	57	57	57	4	0.4	1461	26	0.0487
6	0.0227	medium	0.06930232	8	6	26	57	57	57	8	0.5	2475	47	0.0825
6	0.0227	medium	0.06930232	8	6	26	57	57	57	16	0.5	4997	107	0.16656666666666667
6	0.0227	medium	0.06930232	8	6	26	57	57	57	24	0.8	7634	182	0.2544666666666667
6	0.0227	medium	0.06930232	8	6	26	57	57	57	32	0.9	11546	287	0.3848666666666667
6	0.0227	medium	0.06930232	8	6	26	57	57	57	48	0.9	21502	529	0.7167333333333333
6	0.0227	medium	0.06930232	8	6	26	57	57	57	64	1.0	30000	681	1.0
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32	1	0.0	342	1	0.0114
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32	2	0.0	660	1	0.022
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32	4	0.3	1324	5	0.04413333333333333
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32	8	0.6	2120	14	0.07066666666666667
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32	16	0.9	5010	32	0.167
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32	24	0.9	7794	43	0.2598
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32	32	1.0	11175	55	0.3725
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32	48	1.0	20946	92	0.6982
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32	64	1.0	30000	154	1.0
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1	1	1.0	318	237	0.0106
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1	2	1.0	674	393	0.022466666666666666
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1	4	1.0	1290	875	0.043
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1	8	1.0	2248	1232	0.07493333333333334
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1	16	1.0	5531	3534	0.18436666666666668
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1	24	1.0	8460	5508	0.282
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1	32	1.0	12161	8383	0.40536666666666665
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1	48	1.0	19576	12460	0.6525333333333333
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1	64	1.0	30000	19274	1.0
9	0.0718	medium	0.0060298443	5	3	8	17	17	17	1	0.2	356	39	0.011866666666666666
9	0.0718	medium	0.0060298443	5	3	8	17	17	17	2	0.3	550	65	0.018333333333333333
