query_index	selectivity	bucket	centroid_margin	truth_list_count	nprobe_50	nprobe_90	nprobe_95	nprobe_100	maximum_truth_list_rank
1	0.6424666666666666	broad	0.052514195	5	3	18	18	18	18
2	0.25583333333333336	broad	0.014391005	4	1	3	22	22	22
3	0.6424666666666666	broad	0.038854122	3	1	13	15	15	15
4	0.0051333333333333335	rare	0.005338192	10	15	32	45	45	45
5	0.0014666666666666667	rare	0.01794511	6	4	17	35	35	35
6	0.0227	medium	0.06930232	8	6	26	57	57	57
7	0.0051333333333333335	rare	0.0032916665	7	7	15	32	32	32
8	0.6424666666666666	broad	0.13504541	1	1	1	1	1	1
9	0.0718	medium	0.0060298443	5	3	8	17	17	17
10	0.0718	medium	0.0005776882	5	3	8	13	13	13
11	0.25583333333333336	broad	0.017348051	5	2	9	10	10	10
12	0.0718	medium	0.033091366	3	2	6	6	6	6
13	0.0718	medium	0.023954332	5	2	4	6	6	6
14	0.6424666666666666	broad	0.00019806623	5	2	14	20	20	20
15	0.6424666666666666	broad	0.030498564	4	2	3	4	4	4
16	0.0227	medium	0.03363669	7	4	18	20	20	20
17	0.0718	medium	0.07690513	6	2	8	18	18	18
18	0.0227	medium	0.018704891	5	2	13	40	40	40
19	0.25583333333333336	broad	0.010405898	4	2	9	10	10	10
20	0.0718	medium	0.014883876	5	3	6	56	56	56
21	0.0718	medium	0.030784547	6	2	6	7	7	7
22	0.6424666666666666	broad	0.007694006	5	1	6	9	9	9
23	0.6424666666666666	broad	0.06756377	3	1	6	8	8	8
24	0.0051333333333333335	rare	0.007556081	7	4	21	22	22	22
25	0.25583333333333336	broad	0.02592659	5	1	6	10	10	10
26	0.0051333333333333335	rare	0.086075425	10	19	24	36	36	36
27	0.0051333333333333335	rare	0.089107275	9	9	18	21	21	21
28	0.0051333333333333335	rare	0.029591858	8	8	22	47	47	47
29	0.6424666666666666	broad	0.007868588	5	2	5	16	16	16
30	0.0718	medium	0.03708005	7	3	8	12	12	12
31	0.0718	medium	0.06477392	7	2	13	14	14	14
32	0.0718	medium	0.017510235	3	2	4	5	5	5
33	0.0051333333333333335	rare	0.05133027	6	6	17	19	19	19
34	0.25583333333333336	broad	0.08845919	6	1	10	13	13	13
35	0.0051333333333333335	rare	0.117966056	9	13	25	26	26	26
36	0.0051333333333333335	rare	0.057135463	8	8	26	29	29	29
37	0.0051333333333333335	rare	0.010408461	8	7	28	35	35	35
38	0.0718	medium	0.016155243	2	2	2	10	10	10
39	0.6424666666666666	broad	0.0010393858	3	1	2	3	3	3
40	0.25583333333333336	broad	0.040905535	5	1	16	41	41	41
41	0.0051333333333333335	rare	0.018949986	9	7	35	49	49	49
42	0.0227	medium	0.1377855	6	6	10	20	20	20
43	0.0051333333333333335	rare	0.022158444	10	12	22	24	24	24
44	0.0051333333333333335	rare	0.021274745	8	6	31	36	36	36
45	0.0718	medium	0.08919543	4	1	20	22	22	22
46	0.0051333333333333335	rare	0.08238113	9	13	25	30	30	30
47	0.0051333333333333335	rare	0.023109019	7	10	16	19	19	19
48	0.25583333333333336	broad	0.08743304	5	2	5	16	16	16
