experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
scale1m-n1000000-d128-clustered-correlated-s0_01-seed52	1000000	128	clustered	correlated	0.01	52	exact	exact	0	true	1.0	0.506791	0.8195	1.0	0.57575	0.6835	10000.0	10000.0	0.0	7.141570958	26.616058349609375	7.040875333	301.7874526977539	1539.921875	ivf_prefilter	1.7130599306587417	true	244.711125	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_01-seed52	1000000	128	clustered	correlated	0.01	52	ivf_prefilter	ivf_prefilter	64	true	1.0	0.474875	0.524	1.0	0.482542	0.50475	10000.0	10000.0	64.0	7.141570958	26.616058349609375	7.040875333	301.7874526977539	1539.921875	ivf_prefilter	1.7130599306587417	true	244.711125	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_01-seed52	1000000	128	clustered	correlated	0.01	52	ivf_postfilter	ivf_postfilter	64	true	1.0	130.57025	165.340833	1.0	163.283792	189.895833	1.0e6	1.0e6	64.0	7.141570958	26.616058349609375	7.040875333	301.7874526977539	1539.921875	ivf_prefilter	1.7130599306587417	true	244.711125	8.0	16.0	64.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_01-seed52	1000000	128	clustered	correlated	0.01	52	filter_aware	filter_aware	64	true	1.0	0.779584	0.979667	1.0	0.715625	0.865333	10000.0	10000.0	64.0	7.141570958	26.616058349609375	7.040875333	301.7874526977539	1539.921875	ivf_prefilter	1.7130599306587417	true	244.711125	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_01-seed52	1000000	128	clustered	correlated	0.01	52	filter_aware_bound	filter_aware_bound	64	true	1.0	0.499666	0.527459	1.0	0.699375	0.776	9999.866666666667	9999.866666666667	45.93333333333333	7.141570958	26.616058349609375	7.040875333	301.7874526977539	1539.921875	ivf_prefilter	1.7130599306587417	true	244.711125	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_01-seed52	1000000	128	clustered	correlated	0.01	52	auto	filter_aware_bound	0	true	NaN	NaN	NaN	1.0	0.709083	0.864667	9999.866666666667	9999.866666666667	45.93333333333333	7.141570958	26.616058349609375	7.040875333	301.7874526977539	1539.921875	ivf_prefilter	1.7130599306587417	true	244.711125	8.0	16.0	64.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_05-seed52	1000000	128	clustered	correlated	0.05	52	exact	exact	0	true	1.0	8.660709	31.075959	1.0	6.090042	7.07	50000.0	50000.0	0.0	7.141570958	26.732688903808594	7.040875333	301.7874526977539	1622.453125	ivf_prefilter	1.7130399258992806	true	20.47506136908216	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_05-seed52	1000000	128	clustered	correlated	0.05	52	ivf_prefilter	ivf_prefilter	64	true	1.0	6.474959	7.369416	1.0	6.488625	6.986167	50000.0	50000.0	64.0	7.141570958	26.732688903808594	7.040875333	301.7874526977539	1622.453125	ivf_prefilter	1.7130399258992806	true	20.47506136908216	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_05-seed52	1000000	128	clustered	correlated	0.05	52	ivf_postfilter	ivf_postfilter	64	true	1.0	163.051	181.086333	1.0	169.821667	217.974084	1.0e6	1.0e6	64.0	7.141570958	26.732688903808594	7.040875333	301.7874526977539	1622.453125	ivf_prefilter	1.7130399258992806	true	20.47506136908216	8.0	16.0	256.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_05-seed52	1000000	128	clustered	correlated	0.05	52	filter_aware	filter_aware	64	true	1.0	5.934167	7.346958	1.0	9.174333	10.645833	50000.0	50000.0	64.0	7.141570958	26.732688903808594	7.040875333	301.7874526977539	1622.453125	ivf_prefilter	1.7130399258992806	true	20.47506136908216	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_05-seed52	1000000	128	clustered	correlated	0.05	52	filter_aware_bound	filter_aware_bound	64	true	1.0	6.393541	7.848958	1.0	10.286583	11.371667	49893.26666666667	49893.26666666667	59.766666666666666	7.141570958	26.732688903808594	7.040875333	301.7874526977539	1622.453125	ivf_prefilter	1.7130399258992806	true	20.47506136908216	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_05-seed52	1000000	128	clustered	correlated	0.05	52	auto	filter_aware_bound	0	true	NaN	NaN	NaN	1.0	10.96475	11.967583	49893.26666666667	49893.26666666667	59.766666666666666	7.141570958	26.732688903808594	7.040875333	301.7874526977539	1622.453125	ivf_prefilter	1.7130399258992806	true	20.47506136908216	8.0	16.0	256.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_1-seed52	1000000	128	clustered	correlated	0.1	52	exact	exact	0	true	1.0	18.795958	52.038	1.0	15.510083	16.4005	100000.0	100000.0	0.0	7.141570958	26.997047424316406	7.040875333	301.7874526977539	1622.453125	filter_aware_bound	1.0714860130986588	true	9.217720068369509	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_1-seed52	1000000	128	clustered	correlated	0.1	52	ivf_prefilter	ivf_prefilter	32	true	1.0	8.286292	12.946792	1.0	5.538959	10.596208	49783.36666666667	49783.36666666667	32.0	7.141570958	26.997047424316406	7.040875333	301.7874526977539	1622.453125	filter_aware_bound	1.0714860130986588	true	9.217720068369509	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_1-seed52	1000000	128	clustered	correlated	0.1	52	ivf_postfilter	ivf_postfilter	32	true	1.0	78.569792	88.923875	1.0	63.38325	86.081209	501051.9666666667	501051.9666666667	32.0	7.141570958	26.997047424316406	7.040875333	301.7874526977539	1622.453125	filter_aware_bound	1.0714860130986588	true	9.217720068369509	8.0	16.0	256.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_1-seed52	1000000	128	clustered	correlated	0.1	52	filter_aware	filter_aware	32	true	1.0	14.296208	20.619584	1.0	13.489625	14.579917	87270.6	87270.6	32.0	7.141570958	26.997047424316406	7.040875333	301.7874526977539	1622.453125	filter_aware_bound	1.0714860130986588	true	9.217720068369509	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_1-seed52	1000000	128	clustered	correlated	0.1	52	filter_aware_bound	filter_aware_bound	32	true	1.0	7.38475	14.023292	1.0	6.390166	9.338666	50292.03333333333	50292.03333333333	32.0	7.141570958	26.997047424316406	7.040875333	301.7874526977539	1622.453125	filter_aware_bound	1.0714860130986588	true	9.217720068369509	8.0	16.0	0.0	2.0	0.5	0.5	4
scale1m-n1000000-d128-clustered-correlated-s0_1-seed52	1000000	128	clustered	correlated	0.1	52	auto	ivf_prefilter	0	true	NaN	NaN	NaN	1.0	6.122	10.00625	49783.36666666667	49783.36666666667	32.0	7.141570958	26.997047424316406	7.040875333	301.7874526977539	1622.453125	filter_aware_bound	1.0714860130986588	true	9.217720068369509	8.0	16.0	256.0	2.0	0.5	0.5	4
